% Pressure events classified as 'true' with magnitude > 0.5 Pa identified during MSL sols 1 to 681.,,,,,,,,
% Column legend:,,,,,,,,
% MSL sol: Mars Science Laboratory landed mission sol (= Martian day),,,,,,,,
% Ls = Solar longitude,,,,,,,,
% LMST = Local Mean Solar Time,,,,,,,,
% LTST = Local True Solar Time,,,,,,,,
% DeltaP = Pressure drop magnitude,,,,,,,,
% FWHM duration = Full Width at Half Maximum duration,,,,,,,,
% <0.5 Pa duration = Time when the pressure perturbation is stronger than 0.5 Pa,,,,,,,,
% V = Background wind velocity = median horizontal wind velocity over 5 Martian minutes,,,,,,,,
% Double event: Events with multiple pressure minimums are marked with 1,,,,,,,,
%               Other events are marked with 0.,,,,,,,,
% ,,,,,,,,
% MSL sol,Ls,LMST,LTST,DeltaP,FWHM duration,<0.5 Pa duration,V,Double event
% ,(deg.),(hour:min.),(hour:min.),(Pa),(s),(s),(m/s),
25,164.06, 9:52,10:29,0.68,9.7,5.7,6.2,0
37,170.77,11:04,11:42,1.59,5.9,8.7,   - ,0
40,172.46,11:02,11:41,1.09,7.9,8.6,11.2,0
41,173.08,13:04,13:43,0.64,7.8,4.1,8.8,0
48,177.05,12:04,12:43,0.84,13.6,11.2,7.3,0
59,183.48,14:16,14:56,0.68,4.3,2.6,   - ,0
59,183.48,14:27,15:07,0.54,35.5,10.5,   - ,0
60,184.01,12:18,12:58,1.02,5.2,5.3,   - ,0
67,188.14,12:07,12:47,0.52,7.2,1.3,   - ,0
72,191.17,14:25,15:05,0.56,5.2,1.8,7.8,0
75,192.88,11:03,11:43,1.08,3.9,4.2,   - ,0
75,192.89,11:11,11:50,2.46,2.2,4.4,   - ,0
78,194.72,12:27,13:07,1.49,4.5,6.3,   - ,0
81,196.56,13:16,13:56,0.56,26.9,9.5,   - ,0
85,198.9, 9:44,10:24,0.54,3.9,1.1,   - ,0
86,199.53,10:37,11:16,0.67,5.4,3.1,   - ,0
86,199.54,10:41,11:20,0.57,   - ,   - ,   - ,1
86,199.55,11:02,11:41,0.96,10.2,9.8,   - ,0
87,200.13, 9:54,10:33,0.65,4.3,2.4,   - ,0
87,200.16,11:12,11:51,0.53,10.8,2.5,   - ,0
88,200.75,10:21,11:00,1.39,3.4,4.6,   - ,0
88,200.76,10:52,11:30,0.94,7.1,6.7,   - ,0
89,201.35, 9:52,10:31,0.68,2.5,1.5,   - ,0
89,201.49,15:16,15:55,0.54,13.8,3.8,   - ,0
90,201.96, 9:31,10:10,0.51,7,0.8,   - ,0
91,202.59,10:15,10:53,0.63,   - ,   - ,   - ,1
91,202.64,12:19,12:57,0.87,4.9,4.2,   - ,0
95,205.03, 9:06, 9:44,0.55,3.2,1,   - ,0
96,205.78,14:20,14:58,1.06,23.6,24.9,9.6,0
96,205.8,14:58,15:35,0.57,21.9,8.5,8.8,0
97,206.32,11:15,11:53,0.53,26.4,6.2,   - ,0
98,206.95,11:32,12:09,0.6,3.7,1.7,   - ,0
98,206.97,12:17,12:55,0.7,4.2,2.7,6.8,0
100,208.16,10:17,10:54,1.35,9.6,12.5,   - ,0
101,208.79,10:32,11:08,1.34,2.6,3.4,   - ,0
102,209.44,11:24,12:01,0.79,8,6.1,   - ,0
104,210.73,13:01,13:37,0.55,3.1,1,9,0
106,211.94,11:10,11:46,0.9,12.8,11.5,7.6,0
106,211.95,11:52,12:27,0.86,2.3,2,8.6,0
111,215.18,14:53,15:27,0.84,4.5,3.7,9,0
114,217.06,14:22,14:56,0.76,   - ,   - ,7.8,1
117,218.89,11:33,12:05,0.63,3.6,1.8,8.1,0
120,220.83,12:47,13:18,0.68,   - ,   - ,8.3,1
120,220.89,14:54,15:26,0.51,15.7,2.3,8,0
120,220.89,14:56,15:28,0.74,5.5,3.8,7.7,0
122,222.06,11:01,11:32,0.95,5.5,5.2,7.5,0
123,222.67, 9:46,10:16,0.59,3.6,1.5,8.1,0
123,222.71,11:15,11:45,1.12,3.9,4.4,6.8,0
