# sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, datafile
15, 13.1656, 3.48982e-05, 2.51757, 0.0745095, 8.48978, 0.363425, ps_calib_0015_01.csv
15, 12.4142, 4.90849e-05, 1.22939, 0.0419026, 10.3684, 0.513743, ps_calib_0015_01.csv
15, 13.1838, 0.000843865, 0.560207, 0.205528, 16.5585, 8.9811, ps_calib_0015_01.csv
15, 14.1219, 2.32699e-05, 0.873906, 0.134627, 1.29746, 0.269583, ps_calib_0015_01.csv
15, 12.907, 0.00036021, 0.445328, 0.0101318, 112.668, 4.97175, ps_calib_0015_01.csv
15, 15.1452, 8.0992e-05, 0.587494, 0.0259976, 13.1769, 0.85413, ps_calib_0015_01.csv
15, 12.5451, 4.64607e-05, 0.600523, 0.151218, 1.81484, 0.643468, ps_calib_0015_01.csv
15, 14.1829, 2.24216e-05, 0.383078, 0.123899, 1.22892, 0.479975, ps_calib_0015_01.csv
15, 14.8795, 0.000103998, 0.419619, 0.0410651, 7.65125, 1.08059, ps_calib_0015_01.csv
15, 14.0433, 7.48063e-05, 0.114964, 0.0114623, 5.34681, 1.02316, ps_calib_0015_01.csv
15, 14.8217, 0.00011279, 0.333824, 0.0596539, 4.53911, 1.16051, ps_calib_0015_01.csv
15, 8.83011, 8.87822e-05, 0.372172, 0.0480968, 4.94804, 0.916317, ps_calib_0015_01.csv
15, 13.4383, 4.98024e-05, 0.193253, 0.0200005, 3.42024, 0.607356, ps_calib_0015_01.csv
15, 14.164, 0.00019995, 0.104614, 0.0516257, 2.91273, 2.3998, ps_calib_0015_01.csv
15, 13.3017, 0.000281143, 0.338011, 0.00710405, 95.2843, 3.70819, ps_calib_0015_01.csv
16, 9.882, 1.38155e-05, 1.33095, 0.021963, 6.02781, 0.142928, ps_calib_0016_01.csv
16, 15.2509, 8.37463e-05, 0.768711, 0.0304774, 15.2066, 0.888036, ps_calib_0016_01.csv
16, 9.59238, 0.000163539, 0.74198, 0.0254361, 34.3096, 1.82723, ps_calib_0016_01.csv
16, 11.302, 4.85535e-05, 0.813375, 0.0623483, 4.55935, 0.500192, ps_calib_0016_01.csv
16, 13.9112, 0.000499875, 0.383035, 0.0213702, 64.1697, 6.06373, ps_calib_0016_01.csv
16, 13.8974, 2.48384e-05, 2.09235, 10.7108, 0.549441, 1.82065, ps_calib_0016_01.csv
16, 14.1741, 0.000364253, 0.29268, 0.104812, 21.6815, 9.56392, ps_calib_0016_01.csv
16, 15.4934, 0.000253788, 0.377425, 0.0430998, 15.9993, 2.69693, ps_calib_0016_01.csv
16, 14.7623, 0.000175929, 0.514246, 0.0787817, 8.26811, 1.83101, ps_calib_0016_01.csv
16, 13.5149, 1.38788e-05, 1.41096, 1.21788, 0.566629, 0.329492, ps_calib_0016_01.csv
16, 12.3127, 0.000161686, 0.459216, 0.0260422, 20.5224, 1.73945, ps_calib_0016_01.csv
16, 14.8934, 8.91907e-05, 0.432456, 0.0913868, 3.02681, 0.911486, ps_calib_0016_01.csv
16, 12.1635, 0.0006005, 0.359552, 0.0285383, 54.2781, 7.08986, ps_calib_0016_01.csv
16, 13.2942, 0.000130837, 0.457052, 0.0273691, 15.7294, 1.38938, ps_calib_0016_01.csv
16, 15.5571, 0.000232488, 0.40837, 0.0298228, 22.9129, 2.51758, ps_calib_0016_01.csv
16, 11.2575, 0.000165956, 0.362742, 0.0901023, 4.8085, 1.71046, ps_calib_0016_01.csv
16, 14.3635, 3.62088e-05, 0.15206, 0.00978219, 4.02779, 0.46416, ps_calib_0016_01.csv
