#sol, Ls, LMST, delta P, delta P err, Gamma, Gamma err
1, 77.2, 1307:14, 1.08, 3, 4.1, 2
2, 77.6, 1212:33, 0.61, 3, 3.4, 3
2, 77.7, 1419:18, 0.85, 2, 7.4, 2
3, 78.1, 1417:31, 0.77, 3, 4.7, 3
5, 78.9, 1056:16, 0.55, 2, 6.3, 4
5, 78.9, 1225:09, 0.57, 6, 30, 4
6, 79.4, 1321:23, 0.69, 3, 10.4, 8
7, 79.9, 1413:29, 0.56, 2, 6.6, 5
11, 81.7, 1608:42, 1.00, 4, 21, 2
12, 82.0, 1234:58, 0.91, 4, 3.0, 2
12, 82.1, 1608:02, 0.62, 3, 2.9, 3
13, 82.5, 1117:59, 0.86, 2, 9.0, 3
13, 82.5, 1212:53, 0.70, 2, 9.7, 6
14, 82.9, 1132:42, 0.97, 2, 18.6, 7
17, 84.3, 1352:44, 1.24, 3, 6.3, 2
21, 86.1, 1202:33, 0.72, 2, 8.7, 4
22, 86.5, 1344:38, 0.81, 2, 7.3, 3
24, 87.4, 1024:43, 0.57, 3, 3.1, 3
24, 87.4, 1220:49, 0.75, 2, 9.8, 4
26, 88.5, 2259:44, 0.59, 3, 22, 2
29, 89.7, 1541:46, 1.33, 3, 7.6, 3
30, 90.1, 1033:14, 0.76, 2, 8.1, 3
32, 91.0, 1208:30, 0.54, 2, 12.1, 9
33, 91.5, 1406:24, 0.81, 4, 13, 2
34, 92.0, 1356:00, 0.52, 6, 30, 4
37, 93.3, 1522:51, 0.80, 3, 4.2, 2
40, 94.7, 1440:30, 1.24, 4, 10.2, 6
45, 97.0, 1300:45, 0.88, 4, 27, 2
46, 97.4, 0917:20, 0.73, 2, 9.0, 4
46, 97.4, 1009:24, 0.65, 3, 3.8, 3
47, 97.9, 1241:52, 0.94, 3, 9.6, 5
50, 99.2, 1054:29, 0.64, 2, 5.5, 3
50, 99.3, 1359:02, 0.88, 3, 5.2, 3
53, 100.6, 1100:42, 1.21, 2, 10.2, 3
57, 102.4, 0952:36, 0.58, 3, 8.8, 7
58, 102.9, 1039:06, 0.90, 2, 9.3, 4
59, 103.4, 1011:42, 0.51, 2, 6.0, 3
59, 103.5, 1411:38, 0.97, 2, 15.0, 7
59, 103.5, 1507:16, 0.67, 2, 13.0, 5
62, 104.9, 1443:36, 0.56, 2, 7.9, 4
66, 106.7, 1115:10, 0.70, 4, 2.8, 3
66, 106.8, 1558:07, 0.55, 2, 8.0, 5
67, 107.1, 1142:48, 0.51, 2, 7.8, 4
68, 107.6, 1121:55, 2.04, 4, 5.3, 2
68, 107.7, 1535:58, 0.63, 2, 7.1, 4
72, 109.5, 1323:03, 0.66, 2, 9.8, 6
73, 110.0, 1258:09, 0.96, 2, 8.6, 4
75, 110.9, 1101:54, 0.76, 3, 3.4, 3
77, 111.8, 1036:54, 0.53, 4, 3.3, 4
78, 112.3, 1208:55, 0.54, 4, 4.6, 6
78, 112.4, 1252:00, 0.60, 3, 3.6, 3
79, 112.7, 0845:02, 0.73, 3, 3.8, 3
79, 112.8, 1037:10, 0.87, 4, 20, 2
79, 112.8, 1118:10, 0.100, 3, 5.8, 3
79, 112.9, 1452:56, 1.33, 4, 7.7, 4
80, 113.3, 1133:35, 1.25, 3, 7.2, 3
80, 113.3, 1150:12, 0.90, 2, 14.3, 6
80, 113.3, 1315:51, 1.68, 10, 2.8, 3
82, 114.2, 1024:28, 1.86, 2, 10.0, 3
82, 114.2, 1145:14, 0.99, 8, 2.5, 4
83, 114.7, 1235:42, 0.55, 5, 5.3, 8
83, 114.7, 1318:08, 2.22, 5, 4.5, 2
83, 114.8, 1513:53, 1.09, 4, 3.4, 2
84, 115.3, 1543:42, 0.556, 9, 12.6, 5
85, 115.6, 1037:15, 1.02, 3, 10.2, 6
85, 115.6, 1037:15, 0.97, 4, 14.4, 10
85, 115.7, 1549:05, 0.78, 2, 4.3, 2
86, 116.1, 1129:04, 0.50, 3, 4.1, 4
86, 116.2, 1257:47, 0.54, 2, 4.0, 2
87, 116.6, 1103:38, 1.50, 4, 4.5, 2
87, 116.7, 1418:50, 0.52, 4, 32, 3
89, 117.5, 1031:47, 0.94, 3, 12.5, 8
89, 117.6, 1236:27, 0.56, 2, 5.7, 4
89, 117.7, 1633:05, 1.29, 3, 16.6, 7
90, 118.1, 1205:58, 2.58, 3, 13.5, 3
91, 118.8, 2322:12, 0.56, 4, 29, 3
91, 118.8, 2323:30, 0.56, 6, 26, 4
93, 119.5, 1128:37, 0.66, 4, 2.1, 2
93, 119.5, 1401:20, 0.50, 2, 5.9, 4
93, 119.5, 1447:02, 0.66, 6, 20, 3
93, 119.5, 1455:03, 0.74, 3, 6.1, 4
93, 119.6, 1536:08, 0.62, 3, 4.9, 4
94, 120.0, 1204:26, 0.57, 4, 23, 3
95, 120.4, 0849:15, 0.66, 3, 14, 2
95, 120.4, 0912:34, 1.67, 6, 5.8, 4
95, 120.4, 0954:47, 0.58, 6, 6, 2
95, 120.5, 1300:10, 0.64, 3, 9.3, 8
95, 120.5, 1330:20, 0.52, 4, 13, 2
95, 120.5, 1348:30, 0.52, 2, 13, 2
95, 120.5, 1416:00, 0.62, 3, 7.5, 7
95, 120.5, 1508:43, 3.56, 10, 4.3, 3
95, 120.5, 1529:29, 0.58, 3, 15, 2
96, 120.9, 0944:00, 0.67, 3, 14.5, 10
96, 121.0, 1442:02, 0.88, 3, 9.9, 7
96, 121.0, 1549:46, 0.83, 5, 24, 2
97, 121.3, 0802:41, 0.60, 3, 4.1, 3
97, 121.4, 1345:38, 0.52, 6, 5, 2
99, 122.4, 1517:50, 0.76, 3, 3.3, 2
99, 122.5, 1539:46, 0.74, 3, 7.3, 5
101, 123.4, 1421:07, 1.74, 3, 7.5, 2
102, 123.8, 1119:50, 0.98, 2, 8.5, 2
104, 124.8, 1013:17, 0.63, 7, 30, 4
104, 124.8, 1036:42, 0.87, 2, 8.4, 4
104, 124.8, 1156:42, 1.49, 5, 6.4, 4
104, 124.8, 1405:28, 0.68, 3, 5.2, 4
105, 125.4, 1545:00, 0.93, 2, 11.4, 4
108, 126.7, 1125:24, 0.84, 6, 34, 3
109, 127.2, 1150:51, 0.91, 4, 3.9, 3
109, 127.2, 1236:14, 0.50, 6, 32, 4
110, 127.8, 1508:32, 0.78, 4, 2.4, 2
111, 128.2, 1225:27, 0.66, 3, 16, 2
111, 128.3, 1533:14, 0.56, 2, 21, 2
113, 129.2, 1026:04, 0.76, 2, 20.3, 8
113, 129.2, 1156:16, 1.03, 3, 7.5, 4
114, 129.7, 1231:00, 0.57, 2, 13.2, 7
114, 129.7, 1455:01, 0.71, 2, 9.4, 4
116, 130.6, 0856:23, 0.53, 2, 5.7, 3
116, 130.7, 1231:11, 0.83, 6, 1.8, 2
116, 130.7, 1444:10, 0.84, 3, 5.5, 4
117, 131.2, 1407:18, 0.57, 3, 2.5, 3
117, 131.2, 1420:30, 0.84, 4, 2.4, 2
117, 131.2, 1430:30, 0.68, 2, 11.9, 6
117, 131.2, 1458:57, 0.58, 4, 4.6, 5
118, 131.6, 1105:26, 2.37, 7, 13.4, 8
118, 131.6, 1105:26, 2.08, 8, 9.9, 6
120, 132.6, 1142:12, 1.48, 6, 2.4, 2
121, 133.1, 1055:10, 1.39, 4, 4.4, 3
121, 133.1, 1303:44, 0.65, 4, 5.8, 7
121, 133.1, 1333:00, 0.60, 3, 9, 2
122, 133.6, 1125:49, 0.78, 4, 2.8, 3
122, 133.6, 1255:04, 1.63, 6, 4.0, 3
122, 133.6, 1307:55, 0.62, 3, 3.2, 3
122, 133.7, 1527:26, 0.74, 2, 13.0, 8
123, 134.1, 1018:23, 0.66, 2, 6.5, 3
123, 134.1, 1302:15, 0.69, 2, 11.1, 6
