Sol,ICCImage,ImageLocalTrueSolarTime,Hour,Min,Seconds
1,c000m0001_596620131radlf0000_0589m,12:58:09,12,58,9
4,c000m0004_596885510radlf0000_0462m,12:41:25,12,41,25
4,c000m0004_596886276radlf0000_0463m,12:53:51,12,53,51
4,c000m0004_596888328radlf0000_0461m,13:27:07,13,27,7
5,c000m0005_596975725radlf0000_0461m,13:04:20,13,4,20
8,c000m0008_597253419radlf0000_0461m,16:07:24,16,7,24
10,c000m0010_597420115radlf0000_0461m,13:10:35,13,10,35
12,c000m0012_597614421radlf0000_0461m,17:41:32,17,41,32
14,c000m0014_597774697radlf0000_0130m,13:00:40,13,0,40
14,c000m0014_597784061radlf0000_0500m,15:32:31,15,32,31
16,c000m0016_597952811radlf0000_0500m,13:09:06,13,9,6
16,c000m0016_597964044radlf0000_0461m,16:11:16,16,11,16
18,c000m0018_598132181radlf0000_0130m,13:37:57,13,37,57
18,c000m0018_598144559radlf0000_0461m,16:58:41,16,58,41
20,c000m0020_598307586radlf0000_0461m,13:02:32,13,2,32
20,c000m0020_598323338radlf0000_0902m,17:17:59,17,17,59
20,c000m0020_598325996radlf0000_0904m,18:01:05,18,1,5
22,c000m0022_598502660radlf0000_0564m,17:46:08,17,46,8
22,c000m0022_598503233radlf0000_0200m,17:55:25,17,55,25
22,c000m0022_598503291radlf0000_0201m,17:56:22,17,56,22
22,c000m0022_598503359radlf0000_0202m,17:57:28,17,57,28
22,c000m0022_598503429radlf0000_0203m,17:58:36,17,58,36
22,c000m0022_598503879radlf0000_0565m,18:05:54,18,5,54
22,c000m0022_598504116radlf0000_0568m,18:09:44,18,9,44
23,c000m0023_598565301radlf0000_0461m,10:42:01,10,42,1
23,c000m0023_598576773radlf0000_1200m,13:48:04,13,48,4
23,c000m0023_598576822radlf0000_1400m,13:48:51,13,48,51
23,c000m0023_598576870radlf0000_1300m,13:49:38,13,49,38
23,c000m0023_598578217radlf0000_0800m,14:11:29,14,11,29
24,c000m0024_598662821radlf0000_0558m,13:03:34,13,3,34
24,c000m0024_598663096radlf0000_0559m,13:08:01,13,8,1
24,c000m0024_598663736radlf0000_0461m,13:18:24,13,18,24
25,c000m0025_598745776radlf0000_0200m,11:28:54,11,28,54
25,c000m0025_598745826radlf0000_0201m,11:29:43,11,29,43
25,c000m0025_598745867radlf0000_0202m,11:30:23,11,30,23
25,c000m0025_598745917radlf0000_0203m,11:31:11,11,31,11
25,c000m0025_598746575radlf0000_0563m,11:41:52,11,41,52
25,c000m0025_598751283radlf0000_0461m,12:58:13,12,58,13
25,c000m0025_598755370radlf0000_1200m,14:04:30,14,4,30
25,c000m0025_598755419radlf0000_1400m,14:05:18,14,5,18
25,c000m0025_598755469radlf0000_1300m,14:06:06,14,6,6
25,c000m0025_598761240radlf0000_0461m,15:39:42,15,39,42
25,c000m0025_598767322radlf0000_0461m,17:18:20,17,18,20
26,c000m0026_598831671radlf0000_0588m,10:41:56,10,41,56
26,c000m0026_598832962radlf0000_0461m,11:02:53,11,2,53
26,c000m0026_598850849radlf0000_0500m,15:52:58,15,52,58
30,c000m0030_599199769radlf0000_1200m,14:11:48,14,11,48
30,c000m0030_599199818radlf0000_1400m,14:12:35,14,12,35
30,c000m0030_599199868radlf0000_1300m,14:13:24,14,13,24
30,c000m0030_599213027radlf0000_0461m,17:46:49,17,46,49
32,c000m0032_599384990radlf0000_0461m,16:15:47,16,15,47
35,c000m0035_599647371radlf0000_0461m,15:11:16,15,11,16
35,c000r0035_599646207rad_f0000_0121m,14:52:23,14,52,23
35,c001l0035_599646424rad_f0000_0121m,14:55:54,14,55,54
37,c000m0037_599812105radlf0000_0134m,11:43:04,11,43,4
37,c000m0037_599813015radlf0000_0134m,11:57:50,11,57,50
37,c000m0037_599814563radlf0000_0589m,12:22:56,12,22,56
37,c000m0037_599815263radlf0000_0461m,12:34:17,12,34,17
38,c000m0038_599896075radlf0000_0134m,10:24:59,10,24,59
38,c000m0038_599898475radlf0000_0461m,11:03:54,11,3,54
38,c000m0038_599906768radlf0000_1200m,13:18:25,13,18,25
38,c000m0038_599906810radlf0000_1400m,13:19:06,13,19,6
38,c000m0038_599906851radlf0000_1300m,13:19:45,13,19,45
38,c000m0038_599916489radlf0000_0500m,15:56:05,15,56,5
39,c000m0039_599996791radlf0000_1200m,13:38:30,13,38,30
39,c000m0039_599996841radlf0000_1400m,13:39:19,13,39,19
39,c000m0039_599996890radlf0000_1300m,13:40:07,13,40,7
39,c000m0039_599997820radlf0000_0461m,13:55:12,13,55,12
40,c000m0040_600079790radlf0000_0134m,12:04:41,12,4,41
40,c000m0040_600080513radlf0000_0134m,12:16:25,12,16,25
40,c000m0040_600088574radlf0000_0461m,14:27:10,14,27,10
41,c000m0041_600165002radlf0000_0461m,11:06:46,11,6,46
42,c000m0042_600274140radlf0000_0461m,16:36:56,16,36,56
44,c000m0044_600454047radlf0000_0461m,17:14:57,17,14,57
46,c000m0046_600631764radlf0000_0461m,17:17:29,17,17,29
