#Sol, LTST
1, 0.5403819444
4, 0.5287615741
4, 0.5373958333
4, 0.5604976852
5, 0.5446759259
8, 0.6718055556
10, 0.5490162037
12, 0.7371759259
14, 0.5421296296
14, 0.6475810185
16, 0.5479861111
16, 0.6744907407
18, 0.5680208333
18, 0.7074189815
20, 0.5434259259
20, 0.7208217593
20, 0.7507523148
22, 0.7403703704
22, 0.7468171296
22, 0.7474768519
22, 0.7482407407
22, 0.7490277778
22, 0.7540972222
22, 0.7567592593
23, 0.4458449074
23, 0.5750462963
23, 0.5755902778
23, 0.5761342593
23, 0.5913078704
24, 0.5441435185
24, 0.5472337963
24, 0.5544444444
25, 0.4784027778
25, 0.4789699074
25, 0.4794328704
25, 0.4799884259
25, 0.4874074074
25, 0.5404282407
25, 0.5864583333
25, 0.5870138889
25, 0.5875694444
25, 0.6525694444
25, 0.7210648148
26, 0.445787037
26, 0.4603356481
26, 0.6617824074
30, 0.5915277778
30, 0.5920717593
30, 0.5926388889
30, 0.7408449074
32, 0.6776273148
35, 0.6197106481
35, 0.6221527778
35, 0.6328240741
37, 0.4882407407
37, 0.4984953704
37, 0.5159259259
37, 0.5238078704
38, 0.4340162037
38, 0.4610416667
38, 0.5544560185
38, 0.5549305556
38, 0.5553819444
38, 0.6639467593
39, 0.5684027778
39, 0.5689699074
39, 0.569525463
39, 0.58
40, 0.5032523148
40, 0.511400463
40, 0.6021990741
41, 0.4630324074
42, 0.6923148148
44, 0.7187152778
46, 0.720474537
48, 0.6780671296
48, 0.6861689815
48, 0.6887615741
48, 0.6913657407
48, 0.69375
48, 0.6960648148
48, 0.6984375
48, 0.7008333333
48, 0.7159259259
50, 0.6908564815
52, 0.336087963
52, 0.4336689815
52, 0.4361689815
52, 0.438587963
52, 0.631724537
52, 0.662962963
52, 0.6834953704
52, 0.6878587963
52, 0.7266435185
56, 0.6215393519
56, 0.6239583333
56, 0.6263310185
56, 0.62875
56, 0.6312615741
56, 0.6336921296
56, 0.6362268519
56, 0.6712731481
56, 0.6899652778
58, 0.3468981481
58, 0.6790277778
59, 0.621712963
59, 0.6241550926
59, 0.6265625
59, 0.6290046296
59, 0.6315162037
59, 0.6338888889
59, 0.6362731481
59, 0.6388078704
59, 0.6848148148
59, 0.7034606481
61, 0.6181365741
61, 0.620474537
61, 0.6228587963
61, 0.6250694444
61, 0.6275115741
61, 0.6298726852
61, 0.6322337963
61, 0.6347685185
61, 0.6739583333
61, 0.7025810185
62, 0.4312847222
62, 0.4649652778
62, 0.5013541667
62, 0.5483101852
62, 0.5781018519
62, 0.6221527778
62, 0.7244560185
63, 0.3440856481
63, 0.5339699074
63, 0.53625
63, 0.5628472222
63, 0.6768402778
65, 0.5399421296
66, 0.3990277778
66, 0.3995486111
66, 0.4000694444
66, 0.4006018519
66, 0.4011111111
66, 0.4014814815
66, 0.4099074074
66, 0.4123958333
66, 0.4274421296
67, 0.4039351852
67, 0.4696412037
67, 0.4730555556
67, 0.4757407407
67, 0.4782986111
67, 0.4845949074
67, 0.6572916667
68, 0.4039814815
68, 0.4631018519
68, 0.511712963
68, 0.5533912037
68, 0.5971064815
68, 0.6368981481
69, 0.5623726852
69, 0.6320486111
70, 0.4675925926
70, 0.4688657407
70, 0.4694212963
70, 0.4699537037
70, 0.4705092593
70, 0.4710532407
70, 0.4715972222
70, 0.4721296296
70, 0.472662037
70, 0.4732060185
70, 0.4737268519
70, 0.4742708333
70, 0.4748032407
70, 0.4753472222
70, 0.4758680556
70, 0.476412037
70, 0.4769444444
70, 0.4774768519
70, 0.4780092593
70, 0.4783680556
70, 0.4829282407
70, 0.6018634259
70, 0.6817476852
71, 0.3444791667
71, 0.6896412037
72, 0.3445486111
73, 0.3446296296
73, 0.5368055556
73, 0.5373611111
73, 0.5379166667
73, 0.5553009259
73, 0.5578472222
73, 0.5957638889
74, 0.3344444444
74, 0.5830902778
76, 0.4017361111
76, 0.4088657407
76, 0.410150463
76, 0.4106018519
76, 0.411087963
76, 0.4115625
76, 0.412037037
76, 0.4125231481
76, 0.4129976852
76, 0.4134722222
76, 0.4139467593
76, 0.4144328704
76, 0.4149074074
76, 0.4153819444
76, 0.4158680556
76, 0.4163425926
76, 0.4168402778
76, 0.4171990741
76, 0.4175578704
76, 0.4179282407
76, 0.418287037
76, 0.4239467593
76, 0.4257407407
76, 0.4445717593
76, 0.6325810185
77, 0.4243171296
77, 0.5305324074
77, 0.531099537
77, 0.5316550926
77, 0.6152430556
77, 0.6951851852
79, 0.6338425926
79, 0.6369212963
79, 0.6392708333
79, 0.6416782407
79, 0.6475694444
81, 0.6341319444
81, 0.6371064815
81, 0.6394907407
81, 0.6418402778
81, 0.644212963
81, 0.6465972222
81, 0.6553935185
83, 0.3692013889
83, 0.6359027778
83, 0.6369444444
83, 0.6374884259
83, 0.637974537
83, 0.6384722222
83, 0.6389583333
83, 0.6394560185
83, 0.6399421296
83, 0.6404050926
83, 0.6404050926
83, 0.6408912037
83, 0.6413657407
83, 0.6418634259
83, 0.642337963
83, 0.6428240741
83, 0.6433101852
83, 0.6437847222
83, 0.6442708333
83, 0.6447453704
83, 0.6452314815
83, 0.6455902778
83, 0.6546643519
83, 0.6698148148
85, 0.3355902778
85, 0.5502083333
85, 0.550775463
85, 0.5513194444
85, 0.6754282407
87, 0.4625810185
87, 0.4650462963
87, 0.60625
87, 0.6896296296
89, 0.5507407407
89, 0.5512962963
89, 0.5518634259
89, 0.5523032407
89, 0.5528472222
89, 0.6670023148
89, 0.6670023148
92, 0.6701041667
92, 0.6723032407
92, 0.694849537
94, 0.336412037
94, 0.6902777778
95, 0.4803009259
95, 0.4808680556
95, 0.481412037
95, 0.4818634259
95, 0.4824189815
95, 0.4829861111
95, 0.5925462963
96, 0.5417013889
96, 0.5422337963
96, 0.5427546296
96, 0.543275463
96, 0.5437962963
96, 0.5443287037
96, 0.544849537
96, 0.5453703704
96, 0.5458912037
96, 0.5464236111
96, 0.5469444444
96, 0.5474537037
96, 0.5479861111
96, 0.5485069444
96, 0.5490393519
96, 0.5495601852
96, 0.5500810185
96, 0.5506018519
96, 0.5511342593
96, 0.5516550926
96, 0.5565046296
97, 0.4647800926
97, 0.4653009259
97, 0.4658333333
97, 0.4663425926
97, 0.466875
97, 0.4673958333
97, 0.4679166667
97, 0.4684375
97, 0.4689583333
97, 0.4694907407
97, 0.4700115741
97, 0.4705324074
97, 0.4710532407
97, 0.4715856481
97, 0.4721064815
97, 0.4726273148
97, 0.4731481481
97, 0.4736689815
97, 0.4742013889
97, 0.4747222222
97, 0.6815046296
98, 0.7033333333
98, 0.7268171296
98, 0.7365162037
98, 0.7365162037
98, 0.7411921296
98, 0.746412037
98, 0.7515972222
98, 0.7568055556
99, 0.2659606481
99, 0.2672453704
99, 0.2684143519
99, 0.2695833333
99, 0.6574189815
99, 0.6579398148
99, 0.6584606481
99, 0.6589814815
99, 0.6595138889
99, 0.6595138889
99, 0.6600347222
99, 0.6600347222
99, 0.6605555556
99, 0.6605555556
99, 0.6610763889
99, 0.6610763889
99, 0.6615972222
99, 0.6615972222
99, 0.6621296296
99, 0.6621296296
99, 0.6626388889
99, 0.6631712963
99, 0.6636921296
99, 0.664224537
99, 0.6647337963
99, 0.6652662037
99, 0.665787037
99, 0.6663194444
99, 0.6668402778
99, 0.667349537
99, 0.6721180556
100, 0.6176851852
100, 0.6248958333
100, 0.6321064815
100, 0.6393171296
100, 0.6967592593
103, 0.3473263889
103, 0.7092939815
103, 0.7197337963
103, 0.7245833333
103, 0.7294560185
103, 0.7342592593
103, 0.7389814815
103, 0.7441782407
103, 0.7493981481
103, 0.7545949074
106, 0.6547222222
