# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_inc, convolution
0, 14, 12.0302, 0.000106779, 0.698558, 0.0414835, 12.9454, 1.12539, 740.918, 0.00409603, -2.0059, 0.0793729, 5.22843
1, 14, 12.9698, 8.46418e-05, 0.748218, 0.0365595, 12.4715, 0.890924, 735.75, 0.00355436, -5.03188, 0.0686569, 6.31371
2, 14, 12.8427, 3.73416e-05, 1.15952, 0.104944, 2.84131, 0.371845, 736.656, 0.00981517, -12.25, 0.768696, 6.63324
3, 14, 13.3452, 4.87628e-05, 0.973078, 0.121369, 2.7553, 0.502842, 733.722, 0.0124879, -3.20498, 1.20717, 6.99876
4, 14, 14.7406, 7.10467e-05, 1.94021, 0.0561605, 17.6693, 0.758421, 726.733, 0.00664434, -4.99231, 0.125549, 12.3334
0, 15, 15.1452, 8.12429e-05, 0.587536, 0.0260479, 13.1931, 0.856811, 719.577, 0.0026165, -4.04133, 0.0503125, 5.56936
1, 15, 12.4142, 4.84331e-05, 1.23031, 0.0377356, 11.3681, 0.513513, 733.459, 0.00409006, -7.5183, 0.104173, 6.55325
2, 15, 13.1655, 4.11436e-05, 2.52988, 0.0852443, 8.79073, 0.435626, 728.852, 0.00902812, -7.65143, 0.289197, 9.36294
0, 16, 11.302, 2.5837e-05, 0.818026, 0.0298737, 5.09329, 0.272127, 746.771, 0.00291952, -3.90535, 0.141724, 5.6125
1, 16, 15.2509, 7.85303e-05, 0.804713, 0.0358207, 12.6974, 0.850791, 723.453, 0.00501945, -7.78607, 0.166463, 6.63376
2, 16, 9.59237, 0.000136095, 0.765331, 0.0259392, 28.8748, 1.52813, 756.94, 0.00492844, -6.69199, 0.103716, 7.3451
3, 16, 9.882, 1.37525e-05, 1.33527, 0.0212403, 6.22395, 0.145969, 755.14, 0.0023297, -6.07132, 0.111393, 9.03833
0, 17, 11.3337, 2.33208e-05, 0.741928, 0.0484903, 2.58256, 0.250797, 739.77, 0.00559335, -0.611733, 0.706492, 5.50182
1, 17, 13.7984, 5.91357e-06, 1.6066, 0.0824754, 1.23037, 0.0772279, 724.55, 0.00364682, -6.36894, 0.693788, 7.58707
2, 17, 11.3569, 2.23066e-05, 1.16607, 0.0511257, 3.63649, 0.240257, 739.719, 0.00735431, -3.21817, 0.895898, 10.3393
0, 18, 10.3095, 5.68102e-05, 0.769523, 0.0248564, 12.6623, 0.598281, 747.307, 0.00244483, -6.13615, 0.0470349, 5.97018
1, 18, 13.0984, 6.35305e-05, 1.35723, 0.0309712, 20.0403, 0.682577, 729.945, 0.00397689, -7.66134, 0.073742, 7.69303
2, 18, 14.8935, 1.3661e-05, 1.6941, 0.0745202, 2.26742, 0.147803, 722.651, 0.00780461, -0.897339, 0.996502, 12.2952
3, 18, 15.8906, 1.22678e-05, 5.65971, 4.17897, 0.5, 0.236214, 719.082, 0.00726644, -1.04604, 1.40254, 15.0771
0, 19, 13.4423, 4.31734e-05, 1.63781, 0.0429148, 11.8626, 0.45369, 727.539, 0.00403326, -5.3833, 0.0785993, 5.27475
1, 19, 15.1357, 0.000168599, 0.905985, 0.0252245, 43.5101, 1.93223, 719.512, 0.00545459, -4.93457, 0.0886625, 6.34143
2, 19, 11.3527, 8.03825e-05, 1.36348, 0.0325117, 24.2616, 0.873657, 741.635, 0.00469905, -7.04253, 0.0851887, 6.97559
3, 19, 9.93822, 1.8562e-05, 2.12163, 0.052638, 5.38641, 0.198336, 749.611, 0.00627922, -6.52401, 0.395389, 8.59634
4, 19, 13.7052, 1.29546e-05, 5.04068, 0.115455, 4.07097, 0.139298, 726.55, 0.014855, 5.74363, 1.38533, 13.6504
5, 19, 14.1304, 3.20771e-05, 5.17548, 0.0802536, 14.8905, 0.344472, 723.947, 0.0101736, -4.08232, 0.253602, 14.2014
0, 20, 15.7113, 0.00166561, 0.284713, 0.0185418, 300, 34.7496, 715.53, 0.0214095, -2.68803, 0.10384, 5.65278
1, 20, 12.0849, 0.00022199, 1.59297, 0.0449297, 56.446, 2.63677, 732.99, 0.0118575, -6.63784, 0.180268, 6.6278
2, 20, 11.432, 9.72724e-05, 1.2263, 0.0866608, 9.91, 1.02163, 737.144, 0.00806119, -3.85179, 0.18512, 7.04844
0, 21, 12.0258, 2.11743e-05, 1.25834, 0.0698282, 2.31872, 0.185936, 740.533, 0.00822573, 5.24454, 1.05393, 6.37563
1, 21, 11.523, 1.6865e-05, 2.14501, 0.0953781, 1.59629, 0.108512, 743.84, 0.0128201, 1.563, 2.45271, 11.7074
0, 23, 10.6504, 2.22044e-05, 0.962051, 0.0201608, 7.6265, 0.239708, 744.384, 0.00270687, -4.90591, 0.143023, 5.81415
1, 23, 11.6345, 6.87321e-05, 1.16642, 0.0369347, 15.6264, 0.729658, 738.484, 0.00407897, -5.9141, 0.0776456, 6.01491
2, 23, 14.1483, 6.17613e-05, 1.33801, 0.167155, 3.50798, 0.640939, 725.243, 0.017385, -9.59707, 1.34176, 7.41829
0, 24, 13.6715, 9.71487e-05, 1.07128, 0.0405745, 18.4354, 1.10573, 724.872, 0.0083022, -1.10255, 0.307519, 5.9166
1, 24, 13.0527, 0.000172921, 1.55869, 0.0276457, 69.7546, 2.13019, 727.252, 0.00867579, -3.08391, 0.123616, 6.33538
2, 24, 14.5129, 0.000134863, 0.630898, 0.051817, 11.819, 1.45473, 720.328, 0.00691266, -3.91231, 0.232304, 7.59361
3, 24, 12.2374, 4.36308e-05, 3.48383, 0.057812, 18.9252, 0.470038, 732.339, 0.00759088, -5.0545, 0.156674, 14.246
0, 25, 11.6173, 0.000201196, 0.544519, 0.0109846, 71.3357, 2.48875, 734.018, 0.0037041, -5.83983, 0.0496659, 5.04017
1, 25, 13.7599, 0.000565346, 0.364477, 0.0129295, 113.411, 7.81742, 723.329, 0.00702802, -4.68065, 0.0740683, 5.9223
2, 25, 15.4737, 0.000243022, 0.354379, 0.0156358, 39.5935, 2.75516, 715.554, 0.00336606, -5.21182, 0.0524004, 6.36385
0, 26, 12.7358, 2.542e-05, 3.64137, 0.116438, 5.7226, 0.270367, 733.692, 0.0131395, 0.387681, 0.715432, 11.3627
1, 26, 11.1918, 1.9871e-05, 2.79772, 0.0509591, 7.85347, 0.211999, 744.658, 0.0059794, -8.93221, 0.251602, 12.5197
2, 26, 13.7814, 1.73456e-05, 4.36852, 0.153557, 3.50417, 0.181884, 729.021, 0.0181645, -3.91005, 1.72109, 16.9005
0, 27, 11.6149, 3.48939e-05, 0.827084, 0.0290983, 7.14055, 0.367793, 731.295, 0.0028786, -4.97145, 0.101373, 5.47862
1, 27, 14.4006, 1.41559e-05, 0.658989, 0.0240025, 1.67825, 0.0924098, 716.763, 0.00337294, -14.6551, 0.642747, 6.1235
2, 27, 12.4852, 6.34388e-05, 0.91806, 0.0423509, 9.9005, 0.67077, 726.339, 0.00440242, -4.66538, 0.121, 7.59113
0, 28, 15.5075, 0.00012041, 0.570742, 0.177096, 1.42635, 0.686481, 719.157, 0.0155706, -15.1065, 1.54181, 5.32322
1, 28, 15.6652, 0.000235107, 0.454839, 0.018192, 42.2175, 2.72, 718.617, 0.00419338, -3.49932, 0.0738125, 5.79493
2, 28, 8.42766, 1.68715e-05, 0.686373, 0.122748, 1.48301, 0.34215, 759.15, 0.00253748, -4.55505, 0.0799122, 5.81704
0, 29, 14.5276, 7.15012e-05, 0.535286, 0.069399, 3.96641, 0.736602, 715.726, 0.00408069, -5.6877, 0.102767, 5.31074
1, 29, 12.0562, 2.22133e-05, 1.36342, 0.0704839, 3.16535, 0.240677, 729.411, 0.00678438, 2.1369, 0.526965, 6.36762
2, 29, 13.4367, 4.22988e-05, 1.01555, 0.0379143, 8.15669, 0.448074, 722.1, 0.00404443, -3.72695, 0.141176, 6.78254
3, 29, 15.5358, 9.34326e-05, 0.686643, 0.0146362, 31.5322, 1.03599, 710.38, 0.00255911, -6.27467, 0.0437419, 7.05201
4, 29, 10.2372, 4.38213e-05, 0.913956, 0.0399842, 7.21004, 0.471539, 740.369, 0.00518582, -4.46019, 0.275788, 8.57069
5, 29, 13.7288, 9.33227e-06, 2.52684, 0.0870366, 1.71253, 0.087527, 720.595, 0.00950859, -5.72381, 1.79901, 8.75681
6, 29, 11.7469, 0.000225244, 1.39816, 0.246512, 9.10785, 2.94337, 731.697, 0.0999114, -3.82866, 12.6932, 12.7699
7, 29, 12.6395, 1.46129e-05, 2.86074, 0.0740814, 4.06999, 0.155792, 726.041, 0.00833133, -4.174, 0.63525, 14.8043
8, 29, 13.9268, 1.60958e-05, 3.91225, 0.0435217, 10.4153, 0.172419, 719.466, 0.00536152, -5.74119, 0.18315, 15.0075
0, 33, 15.1051, 0.000274885, 0.521138, 0.0327808, 31.4278, 3.07648, 718.694, 0.00620572, -6.0122, 0.114582, 5.92971
1, 33, 9.65059, 3.23647e-05, 1.14009, 0.0819188, 3.16375, 0.333439, 754.883, 0.00917186, -3.94508, 0.877063, 6.73675
2, 33, 11.6415, 1.55076e-05, 3.4127, 0.0716238, 5.31936, 0.167217, 740.788, 0.00946812, -2.77655, 0.702874, 10.7819
0, 34, 10.2544, 3.24869e-05, 0.788442, 0.073097, 2.4536, 0.33215, 740.497, 0.00701364, -1.0986, 0.683249, 5.31443
1, 34, 14.6953, 8.31153e-05, 0.755335, 0.156638, 2.70219, 0.812517, 712.172, 0.0162978, 1.69076, 1.57947, 5.45623
2, 34, 14.6713, 7.47765e-05, 0.923435, 0.166997, 3.02049, 0.79306, 712.233, 0.0130288, -4.14857, 0.738943, 6.34504
3, 34, 9.45672, 1.19355e-05, 1.435, 0.0373323, 3.27554, 0.124565, 746.052, 0.00372128, -7.01795, 0.288582, 8.39443
4, 34, 12.4783, 8.67679e-06, 4.13373, 0.163823, 1.53991, 0.0878372, 725.801, 0.0143631, 2.83568, 2.72708, 15.2778
0, 35, 12.8966, 5.81845e-05, 0.76998, 0.0613765, 5.25559, 0.616762, 725.195, 0.00660528, -7.9156, 0.361354, 5.01246
1, 35, 9.45497, 4.43432e-05, 0.797597, 0.353506, 0.617816, 0.228764, 751.612, 0.00403534, -5.27079, 0.794513, 7.59276
2, 35, 14.6018, 2.69644e-05, 1.14884, 0.0730185, 3.14282, 0.301138, 715.754, 0.00943297, 4.28684, 1.1672, 9.4189
0, 36, 9.60318, 4.50779e-05, 1.41317, 0.0309828, 14.8012, 0.480872, 746.423, 0.00366604, -11.5813, 0.080893, 6.32338
0, 37, 14.9515, 1.76977e-05, 1.98738, 0.137006, 2.24075, 0.231759, 711.215, 0.0130827, -0.897182, 1.6636, 8.22939
1, 37, 10.1039, 3.16546e-05, 1.75852, 0.0366196, 10.942, 0.339965, 745.722, 0.00465815, -10.5345, 0.157951, 10.7962
2, 37, 15.7081, 0.000279436, 0.788316, 0.095938, 17.2687, 4.51762, 707.865, 0.0784241, 8.23286, 6.6878, 14.6702
