# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_inc, convolution
0, 14, 12.0302, 0.000106779, 0.698558, 0.0414835, 12.9454, 1.12539, 740.918, 0.00409603, -2.0059, 0.0793729, 5.22843
1, 14, 12.9698, 8.41363e-05, 0.748128, 0.0365456, 12.4003, 0.884024, 735.749, 0.00344728, -5.10432, 0.0636047, 6.31371
2, 14, 12.8427, 3.73416e-05, 1.15952, 0.104944, 2.84131, 0.371845, 736.656, 0.00981517, -12.25, 0.768696, 6.63324
3, 14, 13.3452, 4.87628e-05, 0.973078, 0.121369, 2.7553, 0.502842, 733.722, 0.0124879, -3.20498, 1.20717, 6.99876
4, 14, 14.7407, 7.17016e-05, 1.87495, 0.0698725, 14.1937, 1.10591, 726.575, 0.0504315, 7.59546, 4.84163, 8.4149
5, 14, 14.7408, 5.31937e-05, 1.90901, 0.0487323, 15.1517, 0.815134, 726.631, 0.034514, 15.7736, 3.23825, 11.475
6, 14, 14.7406, 7.10467e-05, 1.94021, 0.0561605, 17.6693, 0.758421, 726.733, 0.00664434, -4.99231, 0.125549, 12.3334
0, 15, 15.1452, 9.43572e-05, 0.588932, 0.0279771, 14.3004, 0.990429, 719.589, 0.0025967, -3.78551, 0.040256, 5.56936
1, 15, 12.4142, 4.84331e-05, 1.23031, 0.0377356, 11.3681, 0.513513, 733.459, 0.00409006, -7.5183, 0.104173, 6.55325
2, 15, 13.1655, 4.11436e-05, 2.52988, 0.0852443, 8.79073, 0.435626, 728.852, 0.00902812, -7.65143, 0.289197, 9.36294
0, 16, 11.302, 2.5837e-05, 0.818026, 0.0298737, 5.09329, 0.272127, 746.771, 0.00291952, -3.90535, 0.141724, 5.6125
1, 16, 15.2509, 7.85303e-05, 0.804713, 0.0358207, 12.6974, 0.850791, 723.453, 0.00501945, -7.78607, 0.166463, 6.63376
2, 16, 9.59237, 0.000136095, 0.765331, 0.0259392, 28.8748, 1.52813, 756.94, 0.00492844, -6.69199, 0.103716, 7.3451
3, 16, 9.882, 1.37525e-05, 1.33527, 0.0212403, 6.22395, 0.145969, 755.14, 0.0023297, -6.07132, 0.111393, 9.03833
0, 17, 11.3337, 2.33208e-05, 0.741928, 0.0484903, 2.58256, 0.250797, 739.77, 0.00559335, -0.611733, 0.706492, 5.50182
1, 17, 13.7984, 5.91357e-06, 1.6066, 0.0824754, 1.23037, 0.0772279, 724.55, 0.00364682, -6.36894, 0.693788, 7.58707
2, 17, 11.3569, 2.23066e-05, 1.16607, 0.0511257, 3.63649, 0.240257, 739.719, 0.00735431, -3.21817, 0.895898, 10.3393
0, 18, 10.3096, 5.01211e-05, 0.789606, 0.0192734, 14.9105, 0.76447, 747.351, 0.013491, 0.0834594, 1.27669, 5.82565
1, 18, 10.3096, 5.07744e-05, 0.772117, 0.0201876, 13.944, 0.75232, 747.325, 0.0129156, 1.24576, 1.28445, 5.92789
2, 18, 10.3095, 5.77747e-05, 0.771326, 0.0247419, 12.9677, 0.602387, 747.312, 0.00201661, -6.20566, 0.0271344, 5.97018
3, 18, 13.0984, 8.11154e-05, 1.22657, 0.0433594, 17.3391, 1.31663, 729.8, 0.0357586, -15.1698, 3.04243, 6.6654
4, 18, 13.0984, 8.8019e-05, 1.28731, 0.0467572, 19.2552, 1.49588, 729.879, 0.0430093, -9.23261, 3.34742, 6.72203
5, 18, 13.0984, 7.7024e-05, 1.23668, 0.0406015, 17.4744, 1.23933, 729.81, 0.0329537, -13.5767, 2.77109, 7.22078
6, 18, 13.0985, 7.16821e-05, 1.35979, 0.0338483, 20.7304, 0.764386, 729.958, 0.00398011, -7.29374, 0.0623501, 7.69303
7, 18, 14.8935, 1.3661e-05, 1.6941, 0.0745202, 2.26742, 0.147803, 722.651, 0.00780461, -0.897339, 0.996502, 12.2952
8, 18, 15.8906, 1.22678e-05, 5.65971, 4.17897, 0.5, 0.236214, 719.082, 0.00726644, -1.04604, 1.40254, 15.0771
0, 19, 13.4424, 4.95993e-05, 1.63337, 0.054167, 10.6523, 0.676021, 727.488, 0.0258859, 5.11414, 3.03204, 5.00207
1, 19, 13.4423, 4.31734e-05, 1.63781, 0.0429148, 11.8626, 0.45369, 727.539, 0.00403326, -5.3833, 0.0785993, 5.27475
2, 19, 15.136, 9.37673e-05, 0.890441, 0.0382922, 16.4545, 1.50839, 719.246, 0.0309911, -1.50106, 2.72297, 5.36031
3, 19, 15.136, 9.28243e-05, 0.886955, 0.0372294, 16.221, 1.45406, 719.241, 0.0281103, -0.961685, 2.50888, 5.42811
4, 19, 11.3532, 9.53662e-05, 1.22773, 0.0549191, 15.6018, 1.4797, 741.378, 0.040237, 20.3667, 3.70228, 5.83403
5, 19, 15.1357, 0.000155506, 0.921805, 0.0265227, 38.9058, 1.6639, 719.492, 0.00330226, -4.60572, 0.0289122, 6.34143
6, 19, 11.353, 0.000117998, 1.32615, 0.0620366, 19.9852, 2.01653, 741.534, 0.0575008, 10.1434, 4.32814, 6.40598
7, 19, 11.3527, 9.6631e-05, 1.36582, 0.0374383, 25.3782, 1.02943, 741.653, 0.00434986, -6.03496, 0.0545976, 6.97559
8, 19, 9.93822, 1.8562e-05, 2.12163, 0.052638, 5.38641, 0.198336, 749.611, 0.00627922, -6.52401, 0.395389, 8.59634
9, 19, 14.1305, 9.54583e-05, 5.07984, 0.243557, 14.407, 1.44, 723.835, 0.164939, 5.87067, 15.9633, 12.4131
10, 19, 13.7052, 1.29546e-05, 5.04068, 0.115455, 4.07097, 0.139298, 726.55, 0.014855, 5.74363, 1.38533, 13.6504
11, 19, 14.1304, 3.20771e-05, 5.17548, 0.0802536, 14.8905, 0.344472, 723.947, 0.0101736, -4.08232, 0.253602, 14.2014
0, 20, 12.0859, 0.000159614, 1.02891, 0.074385, 32.2401, 3.38993, 732.347, 0.0797598, 16.95, 4.26922, 5.44904
1, 20, 15.7113, 0.00101826, 0.287562, 0.00695535, 300, 13.3257, 715.527, 0.00418938, -3.01354, 0.0110482, 5.65278
2, 20, 12.0854, 0.000105444, 1.48783, 0.0281158, 41.1377, 1.6637, 732.783, 0.0216301, -3.28105, 0.764348, 6.17473
3, 20, 12.0842, 0.000244076, 1.53077, 0.0271688, 98.9319, 2.70176, 733.202, 0.00490616, -7.35898, 0.0251239, 6.6278
4, 20, 11.432, 9.72724e-05, 1.2263, 0.0866608, 9.91, 1.02163, 737.144, 0.00806119, -3.85179, 0.18512, 7.04844
0, 21, 12.0258, 2.11743e-05, 1.25834, 0.0698282, 2.31872, 0.185936, 740.533, 0.00822573, 5.24454, 1.05393, 6.37563
1, 21, 11.523, 1.6865e-05, 2.14501, 0.0953781, 1.59629, 0.108512, 743.84, 0.0128201, 1.563, 2.45271, 11.7074
0, 23, 10.6504, 2.22044e-05, 0.962051, 0.0201608, 7.6265, 0.239708, 744.384, 0.00270687, -4.90591, 0.143023, 5.81415
1, 23, 11.6345, 6.87321e-05, 1.16642, 0.0369347, 15.6264, 0.729658, 738.484, 0.00407897, -5.9141, 0.0776456, 6.01491
2, 23, 14.1483, 6.17613e-05, 1.33801, 0.167155, 3.50798, 0.640939, 725.243, 0.017385, -9.59707, 1.34176, 7.41829
0, 24, 13.6717, 8.82705e-05, 1.0447, 0.0752293, 8.7417, 1.14038, 724.628, 0.0290777, 0.46004, 3.77815, 5.79807
1, 24, 13.0517, 0.000152134, 1.00454, 0.0766255, 37.9886, 3.31161, 726.625, 0.0791971, -21.5118, 3.94658, 5.83839
2, 24, 13.6715, 9.71487e-05, 1.07128, 0.0405745, 18.4354, 1.10573, 724.872, 0.0083022, -1.10255, 0.307519, 5.9166
3, 24, 13.0523, 0.000185248, 0.811961, 0.059822, 28.8006, 3.77709, 726.407, 0.0659574, -3.71038, 3.57347, 6.0407
4, 24, 13.0519, 0.000128634, 0.865662, 0.0442032, 30.7615, 2.72112, 726.465, 0.0493011, -14.3099, 2.42225, 6.08014
5, 24, 13.0524, 0.000147981, 0.863191, 0.0551621, 32.1427, 3.16791, 726.468, 0.0605816, 0.816456, 3.06677, 6.25696
6, 24, 13.0524, 0.000210351, 1.52821, 0.0337698, 68.5285, 2.23726, 727.223, 0.00392618, -4.58494, 0.0172722, 6.33538
7, 24, 14.5129, 0.000134863, 0.630898, 0.051817, 11.819, 1.45473, 720.328, 0.00691266, -3.91231, 0.232304, 7.59361
8, 24, 12.2375, 5.5463e-05, 3.40698, 0.0880873, 15.2936, 0.749713, 732.099, 0.0407974, -1.40188, 3.24256, 11.0059
9, 24, 12.2374, 4.36308e-05, 3.48383, 0.057812, 18.9252, 0.470038, 732.339, 0.00759088, -5.0545, 0.156674, 14.246
0, 25, 11.6192, 0.000546283, 0.528944, 0.0126044, 164.999, 5.91559, 734.129, 0.00317003, -4.8452, 0.00445777, 5.04017
1, 25, 13.759, 3.13451e-05, 0.707937, 0.0262705, 6.05438, 0.37724, 723.116, 0.00735306, -5.69588, 1.09697, 5.86838
2, 25, 13.7593, 0.000948745, 0.459401, 0.0103895, 300, 11.7654, 723.488, 0.00553149, -4.63327, 0.0113953, 5.9223
3, 25, 15.4739, 5.90369e-05, 0.386124, 0.0188924, 8.61157, 0.763103, 715.406, 0.00731798, -9.07771, 0.950161, 6.12309
4, 25, 15.4773, 0.000990264, 0.301531, 0.00711211, 300, 14.4044, 715.677, 0.0062616, -4.67522, 0.0195614, 6.36385
0, 26, 12.7358, 2.542e-05, 3.64137, 0.116438, 5.7226, 0.270367, 733.692, 0.0131395, 0.387681, 0.715432, 11.3627
1, 26, 11.1918, 1.9871e-05, 2.79772, 0.0509591, 7.85347, 0.211999, 744.658, 0.0059794, -8.93221, 0.251602, 12.5197
2, 26, 13.7814, 1.73456e-05, 4.36852, 0.153557, 3.50417, 0.181884, 729.021, 0.0181645, -3.91005, 1.72109, 16.9005
0, 27, 11.6149, 3.48939e-05, 0.827084, 0.0290983, 7.14055, 0.367793, 731.295, 0.0028786, -4.97145, 0.101373, 5.47862
1, 27, 14.4006, 1.41559e-05, 0.658989, 0.0240025, 1.67825, 0.0924098, 716.763, 0.00337294, -14.6551, 0.642747, 6.1235
2, 27, 12.4852, 6.34388e-05, 0.91806, 0.0423509, 9.9005, 0.67077, 726.339, 0.00440242, -4.66538, 0.121, 7.59113
0, 28, 15.5075, 0.00012041, 0.570742, 0.177096, 1.42635, 0.686481, 719.157, 0.0155706, -15.1065, 1.54181, 5.32322
1, 28, 15.6652, 0.000235107, 0.454839, 0.018192, 42.2175, 2.72, 718.617, 0.00419338, -3.49932, 0.0738125, 5.79493
