# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_unc, convolution
0, 14, 14.0652, 0.00048756, 0.467912, 0.0106248, 155.864, 7.49839, 729.685, 0.00798485, -4.39959, 0.0701108, 3.21603
1, 14, 14.5591, 6.78746e-05, 0.518366, 0.052379, 4.83418, 0.716673, 727.393, 0.00537921, -6.70884, 0.295828, 3.22927
2, 14, 15.8946, 0.000645537, 0.295457, 0.016097, 116.34, 12.4507, 721.76, 0.0170715, -3.15749, 0.228805, 3.34434
3, 14, 15.7508, 8.53957e-05, 0.317586, 0.0491697, 3.97496, 0.880208, 722.261, 0.00265348, -4.22731, 0.0562684, 3.37798
4, 14, 15.3868, 0.000671405, 0.187359, 0.0212469, 44.1556, 10.835, 723.84, 0.0185569, -10.365, 0.579191, 3.38669
5, 14, 14.2638, 0.000324661, 0.391204, 0.0620543, 19.8193, 6.12957, 728.584, 0.0595766, -19.9186, 2.72507, 3.44961
6, 14, 15.2716, 0.000152084, 0.462551, 0.0402217, 12.5962, 1.68321, 724.398, 0.00679943, -4.57475, 0.0840441, 3.51351
7, 14, 14.2892, 0.000242853, 0.559305, 0.0486677, 20.4745, 3.32549, 728.394, 0.0223104, -3.765, 0.550596, 3.58555
8, 14, 12.9336, 7.85154e-05, 0.289393, 0.029128, 5.61441, 0.849175, 735.917, 0.00401945, -6.85492, 0.293738, 3.60961
9, 14, 15.3975, 0.00054518, 0.430856, 0.0126433, 132.782, 7.92572, 724.052, 0.00774986, -2.35696, 0.0782543, 3.87466
10, 14, 15.2716, 0.000166171, 0.490302, 0.0415374, 14.1212, 1.75691, 724.428, 0.00434032, -3.34354, 0.0830086, 4.00131
11, 14, 12.144, 0.000140367, 0.890358, 0.0339181, 26.5151, 1.53509, 740.544, 0.00519859, -4.95747, 0.0929246, 4.03154
12, 14, 14.7406, 6.88573e-05, 1.90666, 0.0664406, 14.2341, 0.789381, 726.603, 0.0141092, -2.06957, 0.287283, 4.55451
13, 14, 14.2886, 0.000267103, 0.658602, 0.037454, 33.7813, 2.98027, 728.545, 0.00670915, -2.08583, 0.115897, 4.62846
14, 14, 14.849, 4.70794e-05, 0.767211, 0.0337074, 7.7128, 0.508597, 726.346, 0.00456076, -5.15999, 0.240484, 4.75199
15, 14, 12.0302, 0.000106779, 0.698558, 0.0414835, 12.9454, 1.12539, 740.918, 0.00409603, -2.0059, 0.0793729, 5.22843
16, 14, 12.9698, 8.46418e-05, 0.748218, 0.0365595, 12.4715, 0.890924, 735.75, 0.00355436, -5.03188, 0.0686569, 6.31371
17, 14, 12.8427, 3.73416e-05, 1.15952, 0.104944, 2.84131, 0.371845, 736.656, 0.00981517, -12.25, 0.768696, 6.63324
18, 14, 13.3452, 4.87628e-05, 0.973078, 0.121369, 2.7553, 0.502842, 733.722, 0.0124879, -3.20498, 1.20717, 6.99876
19, 14, 14.7406, 7.10467e-05, 1.94021, 0.0561605, 17.6693, 0.758421, 726.733, 0.00664434, -4.99231, 0.125549, 12.3334
0, 15, 15.1726, 2.03179e-05, 0.464014, 0.467124, 0.945133, 0.876528, 719.421, 0.00628706, 7.65652, 1.18718, 3.2387
1, 15, 13.1655, 5.46824e-05, 2.53532, 0.111368, 8.97661, 0.649097, 728.868, 0.0286664, -8.68042, 1.01819, 3.2955
2, 15, 14.8795, 9.45879e-05, 0.419721, 0.0365575, 7.81806, 1.00417, 720.611, 0.00402884, -3.02457, 0.153754, 3.45503
3, 15, 14.1218, 4.20326e-05, 2.23269, 9.24466, 0.5, 1.30017, 723.081, 0.0039953, -4.79863, 0.0826256, 3.6389
4, 15, 15.1452, 8.12429e-05, 0.587536, 0.0260479, 13.1931, 0.856811, 719.577, 0.0026165, -4.04133, 0.0503125, 5.56936
5, 15, 12.4142, 4.84331e-05, 1.23031, 0.0377356, 11.3681, 0.513513, 733.459, 0.00409006, -7.5183, 0.104173, 6.55325
6, 15, 13.1655, 4.11436e-05, 2.52988, 0.0852443, 8.79073, 0.435626, 728.852, 0.00902812, -7.65143, 0.289197, 9.36294
0, 16, 11.2575, 8.22185e-05, 0.361044, 0.0456916, 4.6748, 0.862957, 746.92, 0.00425824, -2.67971, 0.207719, 3.14518
1, 16, 11.2569, 0.000233691, 0.799031, 12.8065, 0.5, 5.1417, 746.921, 0.00880286, -2.76088, 0.262761, 3.26789
2, 16, 13.5149, 1.94815e-05, 1.58873, 2.44192, 0.5, 0.48685, 732.037, 0.00372532, -1.33486, 0.718295, 3.48071
3, 16, 13.9122, 0.000145191, 0.579407, 0.0403259, 15.0112, 1.59122, 729.948, 0.00630886, -6.42868, 0.2038, 3.7044
4, 16, 11.302, 2.5837e-05, 0.818026, 0.0298737, 5.09329, 0.272127, 746.771, 0.00291952, -3.90535, 0.141724, 5.6125
5, 16, 15.2509, 7.85303e-05, 0.804713, 0.0358207, 12.6974, 0.850791, 723.453, 0.00501945, -7.78607, 0.166463, 6.63376
6, 16, 9.59237, 0.000136095, 0.765331, 0.0259392, 28.8748, 1.52813, 756.94, 0.00492844, -6.69199, 0.103716, 7.3451
7, 16, 9.882, 1.37525e-05, 1.33527, 0.0212403, 6.22395, 0.145969, 755.14, 0.0023297, -6.07132, 0.111393, 9.03833
