# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc
0, 14, 12.0302, 0.000106779, 0.698558, 0.0414835, 12.9454, 1.12539, -2.0059, 0.0793729, 740.918, 0.00409603, 8.92, 0.307578, 115.473, 10.7993
1, 14, 12.9698, 8.46418e-05, 0.748218, 0.0365595, 12.4715, 0.890924, -5.03188, 0.0686569, 735.75, 0.00355436, 6.573, 0.333894, 81.9752, 7.18565
2, 14, 12.8427, 3.73416e-05, 1.15952, 0.104944, 2.84131, 0.371845, -12.25, 0.768696, 736.656, 0.00981517, 8.76, 0.612569, 24.8899, 3.6932
3, 14, 13.3452, 4.87628e-05, 0.973078, 0.121369, 2.7553, 0.502842, -3.20498, 1.20717, 733.722, 0.0124879, 8.385, 0.944147, 23.1032, 4.95427
4, 14, 14.7406, 7.10467e-05, 1.94021, 0.0561605, 17.6693, 0.758421, -4.99231, 0.125549, 726.733, 0.00664434, 8.539, 0.300704, 150.878, 8.37681
0, 15, 15.1452, 8.12429e-05, 0.587536, 0.0260479, 13.1931, 0.856811, -4.04133, 0.0503125, 719.577, 0.0026165, 7.116, 0.342353, 93.8821, 7.58781
1, 15, 12.4142, 4.84331e-05, 1.23031, 0.0377356, 11.3681, 0.513513, -7.5183, 0.104173, 733.459, 0.00409006, 4.8295, 0.336862, 54.9022, 4.56238
2, 15, 13.1655, 4.11436e-05, 2.52988, 0.0852443, 8.79073, 0.435626, -7.65143, 0.289197, 728.852, 0.00902812, 4.026, 0.282189, 35.3915, 3.03801
0, 16, 11.302, 2.5837e-05, 0.818026, 0.0298737, 5.09329, 0.272127, -3.90535, 0.141724, 746.771, 0.00291952, 7.273, 0.33815, 37.0435, 2.62364
1, 16, 15.2509, 7.85303e-05, 0.804713, 0.0358207, 12.6974, 0.850791, -7.78607, 0.166463, 723.453, 0.00501945, 8.754, 0.580203, 111.153, 10.4759
2, 16, 9.59237, 0.000136095, 0.765331, 0.0259392, 28.8748, 1.52813, -6.69199, 0.103716, 756.94, 0.00492844, 3.878, 0.119588, 111.976, 6.85873
3, 16, 9.882, 1.37525e-05, 1.33527, 0.0212403, 6.22395, 0.145969, -6.07132, 0.111393, 755.14, 0.0023297, 2.7015, 0.338043, 16.814, 2.1406
0, 17, 11.3337, 2.33208e-05, 0.741928, 0.0484903, 2.58256, 0.250797, -0.611733, 0.706492, 739.77, 0.00559335, 6.924, 1.31222, 17.8816, 3.80789
1, 17, 13.7984, 5.91357e-06, 1.6066, 0.0824754, 1.23037, 0.0772279, -6.36894, 0.693788, 724.55, 0.00364682, 5.495, 0.596, 6.76088, 0
2, 17, 11.3569, 2.23066e-05, 1.16607, 0.0511257, 3.63649, 0.240257, -3.21817, 0.895898, 739.719, 0.00735431, 6.857, 0.298, 24.9354, 1.97191
0, 18, 10.3095, 5.68102e-05, 0.769523, 0.0248564, 12.6623, 0.598281, -6.13615, 0.0470349, 747.307, 0.00244483, 3.266, 0.165578, 41.3551, 2.86597
1, 18, 13.0984, 6.35305e-05, 1.35723, 0.0309712, 20.0403, 0.682577, -7.66134, 0.073742, 729.945, 0.00397689, 4.119, 0.197277, 82.546, 4.85126
2, 18, 14.8935, 1.3661e-05, 1.6941, 0.0745202, 2.26742, 0.147803, -0.897339, 0.996502, 722.651, 0.00780461, 4.6565, 0.926224, 10.5582, 2.21004
0, 19, 13.4423, 4.31734e-05, 1.63781, 0.0429148, 11.8626, 0.45369, -5.3833, 0.0785993, 727.539, 0.00403326, 11.655, 0.23973, 138.259, 6.00397
1, 19, 15.1357, 0.000168599, 0.905985, 0.0252245, 43.5101, 1.93223, -4.93457, 0.0886625, 719.512, 0.00545459, 8.0755, 0.507593, 351.366, 27.0415
2, 19, 11.3527, 8.03825e-05, 1.36348, 0.0325117, 24.2616, 0.873657, -7.04253, 0.0851887, 741.635, 0.00469905, 9.455, 0.486294, 229.393, 14.4026
3, 19, 9.93822, 1.8562e-05, 2.12163, 0.052638, 5.38641, 0.198336, -6.52401, 0.395389, 749.611, 0.00627922, 7.896, 0.421693, 42.5311, 2.75896
4, 19, 13.7052, 1.29546e-05, 5.04068, 0.115455, 4.07097, 0.139298, 5.74363, 1.38533, 726.55, 0.014855, 10.2385, 0.413646, 41.6806, 2.20674
