# srt_ind, vortex_number, sols, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc, full_Vobs, full_Vobs_unc, full_b, full_b_unc, full_Pact, full_Pact_unc, full_Vact, full_Vact_unc, full_Dact, full_Dact_unc, full_Vobs_sigma
0, 0, 14, 12.0302, 0.000106779, 0.698558, 0.0414835, 12.9454, 1.12539, -2.0059, 0.0793729, 740.918, 0.00409603, 8.92, 1.04069, 115.473, 16.8009, -27.1904, 3.63876, -115.917, 37.3967, -0.261374, 0.256992, nan, nan, nan, nan, 7.47244
1, 1, 14, 12.9698, 8.46418e-05, 0.748218, 0.0365595, 12.4715, 0.890924, -5.03188, 0.0686569, 735.75, 0.00355436, 6.573, 1.85764, 81.9752, 23.8963, -13.8823, 2.13337, -75.5351, 16.4505, 6.65621, 3.41593, 21.9748, 5.63868, 27.4842, 115.135, 6.50725
2, 2, 14, 12.8427, 3.73416e-05, 1.15952, 0.104944, 2.84131, 0.371845, -12.25, 0.768696, 736.656, 0.00981517, 8.76, 1.64901, 24.8899, 5.7064, -13.5409, 2.94878, -57.6751, 261.881, 2.55211, 0.791414, 13.5977, 2.10834, 16.7769, 1800.59, 4.59204
3, 3, 14, 13.3452, 4.87628e-05, 0.973078, 0.121369, 2.7553, 0.502842, -3.20498, 1.20717, 733.722, 0.0124879, 8.385, 1.57622, 23.1032, 6.053, 4.38511, 4.07783, -2.62578, 3.05633, 1.04398, 0.192102, 8.71462, 0.801788, 22.3049, 6.3108, 1.07535
4, 4, 14, 14.7406, 7.10467e-05, 1.94021, 0.0561605, 17.6693, 0.758421, -4.99231, 0.125549, 726.733, 0.00664434, 8.539, 1.46414, 150.878, 26.6685, -12.1304, 3.28977, -46.2905, 12.3764, 2.61524, 0.380085, 13.8603, 1.00719, 129.956, 32.193, 3.68733
5, 0, 15, 15.1452, 8.12429e-05, 0.587536, 0.0260479, 13.1931, 0.856811, -4.04133, 0.0503125, 719.577, 0.0026165, 7.116, 1.38649, 93.8821, 19.2815, -12.024, 2.76546, -68.7593, 37.1245, 3.64121, 1.72452, 16.3432, 3.87016, 37.7118, 143.635, 4.34792
6, 1, 15, 12.4142, 4.84331e-05, 1.23031, 0.0377356, 11.3681, 0.513513, -7.5183, 0.104173, 733.459, 0.00409006, 4.8295, 0.997932, 54.9022, 11.6125, -7.29553, 2.66896, -15.0705, 5.46936, 1.44792, 0.167578, 10.2076, 0.590699, 50.6086, 13.012, 2.73348
7, 2, 15, 13.1655, 4.11436e-05, 2.52988, 0.0852443, 8.79073, 0.435626, -7.65143, 0.289197, 728.852, 0.00902812, 4.026, 0.642163, 35.3915, 5.91125, 2.70255, 3.06119, -22013.7, 5.56576e+10, 2.55535, 0.104365, 13.6038, 0.277801, 35.2147, 6.95862e+13, 0.882844
8, 0, 16, 11.302, 2.5837e-05, 0.818026, 0.0298737, 5.09329, 0.272127, -3.90535, 0.141724, 746.771, 0.00291952, 7.273, 0.836215, 37.0435, 4.69649, -16.1376, 2.42741, -11.1574, 1.92339, -6.66636, 3.00096, nan, nan, nan, nan, 6.64808
9, 1, 16, 15.2509, 7.85303e-05, 0.804713, 0.0358207, 12.6974, 0.850791, -7.78607, 0.166463, 723.453, 0.00501945, 8.754, 2.54318, 111.153, 33.1395, -26.6194, 3.54332, -73.0983, 15.6775, -0.400771, 0.321048, nan, nan, nan, nan, 7.51256
