_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-9.183 ; 13.534 ; 065 ; 2019-032T14:52:02.677Z ; 1.000
-7.349 ; 11.569 ; 323 ; 2019-297T13:54:38.518Z ; 1.000
-6.497 ; 12.597 ; 231 ; 2019-203T02:34:53.536Z ; 0.871
-6.310 ; 15.150 ; 254 ; 2019-226T20:16:31.252Z ; 1.000
-6.067 ; 11.509 ; 233 ; 2019-205T02:46:25.658Z ; 1.000
-5.762 ; 14.131 ; 019 ; 2018-350T09:02:14.029Z ; 1.000
-5.667 ; 12.727 ; 039 ; 2019-005T20:52:02.080Z ; 1.000
-5.270 ; 12.557 ; 385 ; 2019-361T07:41:16.593Z ; 1.000
-5.091 ; 14.158 ; 170 ; 2019-140T12:17:20.123Z ; 1.000
-4.845 ; 11.378 ; 337 ; 2019-311T22:55:12.124Z ; 1.000
-4.835 ; 11.344 ; 191 ; 2019-161T23:07:24.537Z ; 1.000
-4.817 ; 13.705 ; 019 ; 2018-350T08:35:57.061Z ; 1.000
-4.692 ; 14.381 ; 265 ; 2019-238T02:42:00.619Z ; 1.000
-4.664 ; 11.695 ; 239 ; 2019-211T06:53:42.393Z ; 1.000
-4.638 ; 12.650 ; 297 ; 2019-270T21:55:58.616Z ; 1.000
-4.075 ; 12.831 ; 166 ; 2019-136T08:18:41.769Z ; 1.000
-4.053 ; 11.994 ; 065 ; 2019-032T13:17:05.767Z ; 1.000
-4.011 ; 11.789 ; 254 ; 2019-226T16:49:21.744Z ; 1.000
-4.007 ; 10.044 ; 253 ; 2019-225T14:22:29.497Z ; 1.000
-4.002 ; 13.781 ; 026 ; 2018-357T13:19:47.904Z ; 1.000
-3.960 ; 12.086 ; 400 ; 2020-011T17:03:39.580Z ; 1.000
-3.842 ; 12.736 ; 026 ; 2018-357T12:15:20.476Z ; 1.000
-3.832 ; 10.133 ; 268 ; 2019-241T00:18:16.560Z ; 1.000
-3.809 ; 14.339 ; 380 ; 2019-356T06:13:56.578Z ; 1.000
-3.746 ; 12.238 ; 024 ; 2018-355T10:24:54.536Z ; 1.000
-3.722 ; 13.273 ; 353 ; 2019-328T11:23:14.894Z ; 1.000
-3.693 ; 11.112 ; 148 ; 2019-117T18:47:00.543Z ; 1.000
