# srt_ind, vortex_number, sols, DeltaP, Gamma, pressure_scatter, dpdt_scatter, pressure_outlier_time, dpdt_outlier_time
178, 6, 65, 8.88687, 3.27531, 0.140749, 0.00670878, -6.2, -16.2
1312, 3, 459, 8.18645, 3.16881, 0.157805, 0.00926626, -4.68, -15.68
587, 5, 231, 6.97169, 2.14371, 0.706485, 0.018236, -0.28, -273.28
1294, 5, 453, 6.0968, 5.96736, 0.153585, 0.0143812, -9.68, -442.68
865, 9, 323, 6.02135, 7.59835, 0.676874, 0.0252413, -2.8, -11.8
1305, 3, 456, 5.93449, 1.44456, 0.992324, 0.0128245, nan, -13.52
653, 7, 254, 5.49744, 4.82422, 0.189388, 0.0120832, -6.2, -12.2
598, 10, 233, 5.35481, 1.05993, 0.12314, 0.0212383, -113.84, -120.84
1272, 1, 442, 5.22974, 4.2559, 0.52176, 0.023351, -1.48, -5.48
36, 11, 19, 5.17548, 14.8905, 0.14949, 0.0232027, -19.44, -20.44
1102, 5, 385, 5.15373, 1.43416, 0.357002, 0.0151596, -0.92, -464.92
34, 9, 19, 5.07984, 14.407, 1.01608, 0.0232027, -2.8, -20.8
35, 10, 19, 5.04068, 4.07097, 1.06914, 0.0207564, nan, -6.72
108, 5, 39, 4.88062, 16.9568, 0.175975, 0.00889561, -16.24, -21.24
105, 2, 39, 4.73273, 15.2577, 1.01927, 0.00889561, nan, -21.24
107, 4, 39, 4.73033, 15.2823, 1.32159, 0.00889561, nan, -21.24
106, 3, 39, 4.72155, 15.1551, 0.552297, 0.00889561, -6.24, -21.24
1196, 11, 411, 4.68254, 7.56311, 0.145696, 0.0206823, -15.52, -8.52
384, 1, 170, 4.58786, 3.98317, 0.251079, 0.0126392, -2.8, -7.8
368, 2, 166, 4.57172, 2.0971, 0.947397, 0.013677, nan, -354.52
426, 3, 191, 4.52364, 3.27494, 0.51932, 0.026205, -0.68, -306.68
690, 6, 265, 4.38996, 5.00365, 0.214148, 0.00741301, -5.52, -264.52
60, 2, 26, 4.36852, 3.50417, 0.186133, 0.0235363, -4.04, -10.04
1067, 0, 376, 4.36346, 0.976923, 0.793214, 0.0203858, nan, -314.44
1158, 5, 400, 4.29606, 3.7192, 1.38048, 0.0182731, nan, -5.16
372, 3, 167, 4.24182, 1.4776, 1.46119, 0.0148631, nan, -381.56
1228, 6, 422, 4.21533, 30.6206, 0.121976, 0.0112307, -39.8, -63.8
1243, 3, 430, 4.19731, 5.32735, 0.109776, 0.0195703, -441.88, -441.88
86, 4, 34, 4.13373, 1.53991, 0.768308, 0.00908094, nan, -207.88
365, 1, 165, 4.02053, 0.68788, 0.505495, 0.0106006, nan, -213.36
750, 11, 297, 3.94536, 6.91386, 0.465286, 0.0212753, -2.56, -9.56
1082, 1, 380, 3.93458, 6.66662, 0.106889, 0.0117126, -11.12, -128.12
1081, 0, 380, 3.91742, 6.28737, 1.35546, 0.0117126, nan, -128.48
78, 11, 29, 3.91225, 10.4153, 0.0920938, 0.010823, -15.48, -15.48
511, 3, 211, 3.89732, 1.33484, 0.11523, 0.0119349, -1, -4
76, 9, 29, 3.87857, 9.95666, 0.253286, 0.010823, -6.48, -15.48
613, 3, 239, 3.87055, 7.56238, 0.14999, 0.0192368, -9.44, -406.44
883, 6, 328, 3.85682, 1.247, 0.225529, 0.0178654, -0.8, -73.8
611, 1, 239, 3.84539, 7.202, 1.36278, 0.0192368, nan, -406.8
189, 1, 72, 3.83326, 11.4052, 0.123236, 0.00622693, -10.68, -14.68
609, 3, 238, 3.78533, 1.23876, 0.28618, 0.0207194, -0.84, -5.84
1224, 2, 422, 3.77536, 29.1432, 1.45783, 0.0111195, nan, -64.88
697, 2, 268, 3.77068, 3.43999, 0.574565, 0.0146778, -0.44, -9.44
1226, 4, 422, 3.7386, 21.5828, 6.17929, 0.0112307, nan, -65.96
379, 6, 168, 3.73825, 5.03883, 1.16589, 0.0143442, nan, -5.88
1223, 1, 422, 3.71733, 25.1801, 0.508162, 0.0111195, -14.88, -64.88
1225, 3, 422, 3.71331, 21.3881, 4.71512, 0.0112307, nan, -65.96
982, 3, 353, 3.7126, 13.4884, 0.104736, 0.014789, -211.92, -212.92
930, 3, 337, 3.69975, 12.7582, 2.28651, 0.0224244, nan, -333.8
931, 4, 337, 3.69732, 12.5637, 0.207685, 0.0224244, -10.44, -333.44
980, 1, 353, 3.65628, 12.3916, 1.33915, 0.014826, nan, -213.28
58, 0, 26, 3.64137, 5.7226, 0.4924, 0.025056, -0.88, -45.88
646, 2, 253, 3.64109, 0.745845, 0.830394, 0.0207935, nan, -1.84
