# sol, t0, DeltaP, DeltaP_unc, Gamma, Gamma_unc, U, U_unc, Diameter, Diameter_unc
14, 12.0302, 0.698558, 0.0414835, 12.9454, 1.12539, 8.92, 1.10899, 115.473, 17.5178
14, 12.9698, 0.748128, 0.0365456, 12.4003, 0.884024, 6.573, 0.833222, 81.5072, 11.8541
14, 12.8427, 1.15952, 0.104944, 2.84131, 0.371845, 8.76, 0.0103782, 24.8899, 3.2575
14, 13.3452, 0.973078, 0.121369, 2.7553, 0.502842, 8.385, 1.63531, 23.1032, 6.17085
14, 14.7407, 1.87495, 0.0698725, 14.1937, 1.10591, 8.566, 1.321, 121.583, 21.0071
14, 14.7408, 1.90901, 0.0487323, 15.1517, 0.815134, 8.539, 1.91182, 129.38, 29.7918
14, 14.7406, 1.94021, 0.0561605, 17.6693, 0.758421, 8.539, 1.27578, 150.878, 23.454
15, 15.1452, 0.588932, 0.0279771, 14.3004, 0.990429, 6.681, 1.28838, 95.541, 19.5766
15, 12.4142, 1.23031, 0.0377356, 11.3681, 0.513513, 4.8295, 1.06525, 54.9022, 12.3612
15, 13.1655, 2.52988, 0.0852443, 8.79073, 0.435626, 4.026, 0.846566, 35.3915, 7.6458
16, 11.302, 0.818026, 0.0298737, 5.09329, 0.272127, 7.273, 0.756127, 37.0435, 4.32998
16, 15.2509, 0.804713, 0.0358207, 12.6974, 0.850791, 8.754, 2.09195, 111.153, 27.5867
16, 9.59237, 0.765331, 0.0259392, 28.8748, 1.52813, 3.878, 0.640484, 111.976, 19.4201
16, 9.882, 1.33527, 0.0212403, 6.22395, 0.145969, 2.7015, 0.828033, 16.814, 5.1687
17, 11.3337, 0.741928, 0.0484903, 2.58256, 0.250797, 6.924, 2.27283, 17.8816, 6.1212
17, 13.7984, 1.6066, 0.0824754, 1.23037, 0.0772279, 5.495, 0.596, 6.76088, nan
17, 11.3569, 1.16607, 0.0511257, 3.63649, 0.240257, 6.857, 0.578956, 24.9354, 2.67332
18, 10.3096, 0.789606, 0.0192734, 14.9105, 0.76447, 3.274, 0.395855, 48.817, 6.41113
18, 10.3096, 0.772117, 0.0201876, 13.944, 0.75232, 3.386, 0.557458, 47.2144, 8.17996
18, 10.3095, 0.771326, 0.0247419, 12.9677, 0.602387, 3.2655, 0.383253, 42.346, 5.34504
18, 13.0984, 1.22657, 0.0433594, 17.3391, 1.31663, 4.417, 0.919213, 76.5868, 16.9662
18, 13.0984, 1.28731, 0.0467572, 19.2552, 1.49588, 4.119, 0.859909, 79.3122, 17.667
18, 13.0984, 1.23668, 0.0406015, 17.4744, 1.23933, 4.417, 0.919213, 77.1844, 16.9699
18, 13.0985, 1.35979, 0.0338483, 20.7304, 0.764386, 4.1195, 0.860651, 85.3989, 18.1174
