# sol, scatter
14, 0.303994
15, 0.234351
16, 0.21377
17, 0.227415
18, 0.216119
19, 0.249197
20, 0.235891
21, 0.228748
22, 0.179395
23, 0.223219
24, 0.246353
25, 0.236407
26, 0.245185
27, 0.244556
28, 0.239977
29, 0.257476
30, 0.13307
32, 0.329756
33, 0.264638
34, 0.242675
35, 0.252578
36, 0.249369
37, 0.258913
38, 0.27664
39, 0.277855
40, 0.309634
41, 0.304004
42, 0.330659
43, 0.391353
44, 0.415068
45, 0.492472
46, 0.475461
47, 0.408817
48, 0.447313
49, 0.437805
50, 0.35298
51, 0.31203
52, 0.310588
53, 0.300623
54, 0.303952
55, 0.305146
56, 0.347862
57, 0.357376
58, 0.367326
59, 0.366902
60, 0.395024
61, 0.431737
62, 0.437765
63, 0.442851
64, 0.508381
65, 0.510427
66, 0.562825
67, 0.519708
68, 0.485114
69, 0.498697
70, 0.48935
71, 0.479584
72, 0.492041
73, 0.509526
74, 0.457627
75, 0.437791
76, 0.546876
77, 0.475661
78, 0.463484
79, 0.475561
80, 0.475332
81, 0.452847
82, 0.451944
83, 0.488934
84, 0.486213
85, 0.466297
86, 0.449525
87, 0.433098
88, 0.428929
89, 0.439108
90, 0.425355
91, 0.432422
92, 0.294188
94, 0.444512
95, 0.394381
96, 0.389355
97, 0.366965
98, 0.380003
99, 0.388401
100, 0.377925
101, 0.385044
102, 0.392711
123, 0.404807
124, 0.284799
125, 0.313877
126, 0.290545
127, 0.32
128, 0.284345
129, 0.290192
130, 0.299173
131, 0.289352
132, 0.288574
133, 0.291127
134, 0.29283
135, 0.318821
136, 0.297656
137, 0.280554
138, 0.279653
139, 0.274083
140, 0.261348
141, 0.259972
142, 0.242282
143, 0.25511
144, 0.238478
145, 0.236239
146, 0.234414
147, 0.236132
148, 0.239506
149, 0.22761
150, 0.223237
151, 0.23455
152, 0.217932
153, 0.219216
154, 0.229152
155, 0.224248
156, 0.225947
157, 0.239678
158, 0.21621
159, 0.226742
