InSight Vortex Database  R. Lorenz et al. (Icarus, submitted)  Generated Wed Jun 24 21:24:10 2020
*************************************************************************************************************************************************************************
Num     Sol     LTST     DP   Nwind  Wmax   Wbef   Waftr  Wdir   Atck    Dcay    Wdth    Solar    Nsolr  Sdip   MinT1   MaxT1   Press    Ls       LMST              UTC
**************************************************************************************************************************************************************************
00001     15   12.41    1.45    58   10.8    4.2    5.5   320     8.5    10.5     9.1   -9.990     0    0.000   248.7   251.1   733.3   304.8   13:09:41   2018-12-12T04:36:02
00002     15   13.17    2.28    22    8.6    7.4    6.3   305     7.1     7.5    10.5   -9.990     0    0.000   246.9   250.4   728.8   304.9   13:54:49   2018-12-12T05:22:25
00003     16   09.59    1.15    51   12.5   -9.9    4.7   305     6.4    11.8    14.2   -9.990     0    0.000   219.1   220.8   756.7   305.4   10:20:40   2018-12-13T02:21:58
00004     16   09.88    1.24    58    7.2    4.9    2.2   251     3.8     6.2     7.0   -9.990     0    0.000   223.9   226.1   755.1   305.4   10:38:05   2018-12-13T02:39:51
00005     16   11.30    0.83    30   17.4   10.7    9.3   345     4.0     5.0     5.0   -9.990     0    0.000   233.7   236.5   746.8   305.4   12:03:18   2018-12-13T04:07:25
00006     16   15.25    1.17    60   18.1    8.5    9.3   000     7.8     2.8     5.3    0.175     1    0.000   246.6   248.5   723.3   305.5   16:00:17   2018-12-13T08:10:55
00007     17   11.36    1.27    59   12.8    7.9    6.7   301     3.1     2.0     3.1    0.377     1    0.000   236.6   239.8   739.7   306.0   12:06:56   2018-12-14T04:50:45
00008     17   13.80    1.32    61   11.3    6.0    9.1   010     0.9     0.9     1.2   -9.990     0    0.000   248.0   250.2   724.5   306.1   14:33:25   2018-12-14T07:21:15
00009     18   12.94    1.01    61   16.0   11.6    5.3   305     5.0     6.2     5.8   -9.990     0    0.000   250.7   252.3   730.7   306.7   13:42:16   2018-12-15T07:08:17
00010     18   13.10    1.44    61   17.4   10.0    8.8   308     8.4     8.2    11.9    0.350     1    0.000   251.7   253.8   729.5   306.7   13:51:44   2018-12-15T07:18:01
00011     18   14.89    1.51    58   14.9    8.6    6.9   000     1.9     1.6     2.5    0.212     1    0.000   249.8   251.2   722.6   306.7   15:39:32   2018-12-15T09:08:46
00012     18   15.89    1.99    61   13.1   10.1    6.6   301     0.6     0.8     1.0    0.099     1    0.000   244.3   245.7   719.1   306.7   16:39:21   2018-12-15T10:10:15
00013     19   09.94    2.12    59   16.0   11.1    8.2   271     3.9     3.5     5.1   -9.990     0    0.000   221.6   223.4   749.5   307.2   10:42:25   2018-12-16T04:43:05
00014     19   11.35    1.57    61   17.7   10.3    6.0   305    17.2    11.7    13.2    0.373     1    0.000   235.7   237.6   741.1   307.2   12:07:17   2018-12-16T06:10:17
00015     19   11.84    0.87    24   15.4   14.1    5.6   301    10.0     1.0     4.0    0.375     1    0.000   242.6   244.8   737.6   307.2   12:36:45   2018-12-16T06:40:33
00016     19   12.64    0.84    61   14.0    4.7    9.3   278    13.0    23.4    31.7   -9.990     0    0.000   243.5   248.1   731.8   307.3   13:24:53   2018-12-16T07:30:01
00017     19   13.29    0.97    62   17.6   12.6    7.9   305     4.5     1.9     5.3   -9.990     0    0.000   249.8   252.3   728.4   307.3   14:03:32   2018-12-16T08:09:43
00018     19   13.44    1.68    61   23.6   10.7    9.6   348    11.6     8.0    11.2   -9.990     0    0.000   250.2   252.5   727.3   307.3   14:12:43   2018-12-16T08:19:09
00019     19   13.71    4.82    57   17.3    9.4   10.2   345     3.9     2.4     4.5   -9.990     0    0.000   248.3   250.8   726.5   307.3   14:28:30   2018-12-16T08:35:22
00020     19   14.13    5.76    59   20.7   13.7    7.3   355    12.2     4.1    11.6    0.277     1    0.000   249.6   253.5   722.9   307.3   14:54:03   2018-12-16T09:01:38
00021     19   15.14    1.12    57   17.6   10.0    8.9   345    10.7     9.8    16.6    0.182     1    0.000   246.1   248.3   719.0   307.3   15:54:22   2018-12-16T10:03:36
00022     20   11.43    1.18    29   10.5    6.9    4.4   271     9.0     5.5    11.0    0.378     2    0.000   243.3   247.7   737.1   307.8   12:12:24   2018-12-17T06:55:08
00023     20   12.09    1.54    28   17.7   16.6    8.5   301    31.6    11.0    35.6    0.380     1    0.000   239.7   242.8   731.8   307.9   12:51:43   2018-12-17T07:35:31
00024     20   12.85    1.07    24   14.9    7.9    4.4   030     1.3     1.0     1.6    0.360     1    0.000   255.0   258.8   728.2   307.9   13:37:15   2018-12-17T08:22:18
00025     20   12.95    1.37    50   14.3   11.3    6.5   291     9.5     6.3    12.8    0.355     1    0.000   251.8   255.2   727.8   307.9   13:43:15   2018-12-17T08:28:28
00026     20   14.52    0.84    61   14.0   10.4    5.2   005     5.7     2.4     3.8   -9.990     0    0.000   248.6   250.7   719.5   307.9   15:17:53   2018-12-17T10:05:42
00027     21   11.52    2.16    55   15.1   12.1   10.4   305     2.0     1.2     1.4    0.377     2    0.000   234.6   238.5   743.8   308.5   12:18:09   2018-12-18T07:40:37
00028     21   12.03    1.31    61   15.8   13.6    3.4   305     1.3     1.7     1.9    0.377     1    0.000   241.5   245.0   740.5   308.5   12:48:20   2018-12-18T08:11:38
00029     21   14.14    0.93    60   15.5   10.6    8.6   296    18.7     7.7    16.2   -9.990     0    0.000   250.0   252.4   726.5   308.5   14:55:16   2018-12-18T10:22:03
00030     23   10.65    0.96     0   -9.9   -9.9   -9.9   -99     6.5     3.9     6.4    0.352     1    0.000   232.8   234.6   744.3   309.6   11:26:24   2018-12-20T08:06:37
00031     23   11.63    1.20     0   -9.9   -9.9   -9.9   -99     6.0    11.0    12.0   -9.990     0    0.000   241.7   244.2   738.2   309.7   12:25:24   2018-12-20T09:07:15
00032     23   14.15    1.29     0   -9.9   -9.9   -9.9   -99     4.9     2.9     4.0    0.281     1    0.000   246.6   248.9   725.3   309.7   14:56:15   2018-12-20T11:42:15
00033     24   11.96    0.95    31   19.8   -9.9   -9.9   305     9.5    10.0     8.0   -9.990     0    0.000   242.8   244.5   734.0   310.3   12:45:25   2018-12-21T10:07:24
00034     24   12.24    3.75    56   25.9   11.9    5.8   005    10.5     7.5    14.3   -9.990     0    0.000   240.9   244.5   731.5   310.3   13:01:55   2018-12-21T10:24:21
00035     24   13.05    1.31    24   11.1   -9.9   -9.9   231    17.5    18.5    28.5    0.346     1    0.000   246.1   251.0   726.0   310.3   13:50:42   2018-12-21T11:14:29
