sol, median_wind, 0_median_wind, 0_hour_fraction, 1_median_wind, 1_hour_fraction, 2_median_wind, 2_hour_fraction, 3_median_wind, 3_hour_fraction, 4_median_wind, 4_hour_fraction, 5_median_wind, 5_hour_fraction, 6_median_wind, 6_hour_fraction, 7_median_wind, 7_hour_fraction, 8_median_wind, 8_hour_fraction, 9_median_wind, 9_hour_fraction, 10_median_wind, 10_hour_fraction, 11_median_wind, 11_hour_fraction, 12_median_wind, 12_hour_fraction, 13_median_wind, 13_hour_fraction, 14_median_wind, 14_hour_fraction, 15_median_wind, 15_hour_fraction, 16_median_wind, 16_hour_fraction, 17_median_wind, 17_hour_fraction, 18_median_wind, 18_hour_fraction, 19_median_wind, 19_hour_fraction, 20_median_wind, 20_hour_fraction, 21_median_wind, 21_hour_fraction, 22_median_wind, 22_hour_fraction, 23_median_wind, 23_hour_fraction
14, 8.817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.521, 0.126389, 10.333, 0.999444, 9.115, 0.999444, 9.0175, 0.999444, 9.5525, 0.999444, 9.581, 0.999444, 8.9805, 0.999444, 6.722, 0.999444, 6.338, 0.214167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 4.956, 5.673, 0.961944, 0, 0, 0, 0, 0, 0, 3.994, 0.354167, 4.097, 0.388611, 0, 0, 5.105, 0.593889, 6.857, 0.994167, 4.9945, 0.998889, 4.192, 0.999444, 4.331, 0.998889, 5.279, 0.994444, 5.922, 0.999444, 6.4565, 0.999444, 6.571, 0.999444, 5.468, 0.999722, 4.917, 0.999722, 3.665, 0.999444, 2.9405, 0.999444, 3.038, 0.924167, 0, 0, 0, 0, 6.1625, 0.753056
16, 6.226, 5.794, 0.999444, 5.3455, 0.239444, 0, 0, 0, 0, 0, 0, 4.321, 0.540556, 4.3385, 0.760556, 6.248, 0.401111, 9.003, 0.8, 5.598, 0.999444, 4.834, 0.999444, 5.4985, 0.999444, 8.108, 0.999444, 7.95, 0.999444, 7.3745, 0.999444, 8.765, 0.999444, 7.768, 0.999444, 5.961, 0.999722, 6.221, 0.275833, 0, 0, 0, 0, 0, 0, 0, 0, 6.3705, 0.764722
17, 6.081, 6.683, 0.999444, 6.654, 0.999444, 6.969, 0.0844444, 0, 0, 0, 0, 4.796, 0.765556, 4.2135, 0.999444, 5.1135, 0.999444, 5.975, 0.416111, 6.0725, 0.766389, 5.261, 0.999444, 6.444, 0.999444, 6.309, 0.999444, 7.048, 0.999444, 7.546, 0.999722, 6.8705, 0.999444, 5.764, 0.999444, 4.759, 0.999444, 6.0495, 0.326944, 0, 0, 0, 0, 6.538, 0.430278, 6.477, 0.999167, 7.165, 0.999722
18, 5.625, 5.482, 0.915556, 0, 0, 0, 0, 0, 0, 0, 0, 4.523, 0.937778, 4.791, 0.999444, 6.04, 0.998056, 6.5785, 0.999722, 5.392, 0.998333, 5.107, 0.999444, 6.396, 0.999444, 6.2355, 0.999444, 6.895, 0.999444, 6.672, 0.999444, 8.618, 0.999444, 6.4205, 0.999167, 4.983, 0.999444, 4.614, 0.999444, 5.3135, 0.999444, 6.731, 0.223611, 0, 0, 0, 0, 6.281, 0.769722
19, 7.804, 8.067, 0.999444, 7.8695, 0.999444, 7.925, 0.999444, 8.027, 0.999444, 9.287, 0.999444, 5.992, 0.999722, 4.917, 0.999444, 5.536, 0.999444, 10.98, 0.999444, 9.724, 0.999444, 8.609, 0.999444, 8.775, 0.999444, 10.0665, 0.999444, 9.397, 0.999167, 9.872, 0.999444, 10.3265, 0.999444, 8.676, 0.999444, 6.313, 0.999444, 5.135, 0.999722, 5.5945, 0.999722, 7.1855, 0.999444, 7.626, 0.999444, 7.088, 0.999444, 8.5205, 0.999167
20, 5.57, 0, 0, 0, 0, 0, 0, 0, 0, 4.258, 0.581111, 3.857, 0.999444, 3.255, 0.999722, 4.877, 0.999722, 5.838, 0.999444, 4.2145, 0.999444, 4.769, 0.999167, 5.4355, 0.999444, 5.557, 0.999444, 6.6495, 0.999722, 6.998, 0.999444, 7.531, 0.999444, 7.384, 0.999444, 5.7335, 0.381111, 4.1405, 0.700556, 3.61, 0.999444, 6.26, 0.999444, 6.888, 0.999444, 7.235, 0.999444, 6.027, 0.685278
21, 7.717, 6.712, 0.379444, 0, 0, 0, 0, 0, 0, 0, 0, 8.0335, 0.786111, 4.532, 0.999444, 5.238, 0.999444, 9.2575, 0.999444, 8.299, 0.999722, 7.431, 0.999722, 8.889, 0.999444, 9.3395, 0.999444, 9.912, 0.999444, 9.658, 0.999444, 11.043, 0.999167, 9.071, 0.999444, 6.627, 0.999444, 6.1395, 0.209167, 0, 0, 0, 0, 0, 0, 7.344, 0.790278, 7.212, 0.999444
22, 5.5985, 5.582, 0.999167, 5.015, 0.808056, 0, 0, 0, 0, 4.8405, 0.191389, 4.965, 0.999722, 4.825, 0.999722, 5.95, 0.999444, 6.633, 0.999444, 6.5045, 0.999444, 5.305, 0.999444, 5.456, 0.999167, 5.755, 0.983611, 5.48, 0.9925, 7.618, 0.559444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.0905, 0.790833
23, 0, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999167, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999722, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999167, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999722, 0, 0.999444, 0, 0.999444, 0, 0.999444, 0, 0.999167, 0, 0.999444, 0, 0.999722
24, 7.202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.99, 0.848333, 8.455, 0.999444, 7.5785, 0.999444, 8.575, 0.999444, 9.282, 0.999167, 9.335, 0.999444, 10.257, 0.999444, 7.968, 0.999444, 6.139, 0.999722, 4.693, 0.999444, 3.762, 0.999444, 6.135, 0.696944, 0, 0, 0, 0, 0, 0
