# U, Delta_P
9.115, 0.698558
9.115, 0.748218
9.115, 1.15952
9.0175, 0.973078
9.5525, 1.94021
6.571, 0.587536
5.279, 1.23031
5.922, 2.52988
5.4985, 0.818026
8.765, 0.804713
5.598, 0.765331
5.598, 1.33527
6.444, 0.741928
7.048, 1.6066
6.444, 1.16607
5.107, 0.769523
6.895, 1.35723
6.672, 1.6941
9.397, 1.63781
10.3265, 0.905985
8.775, 1.36348
9.724, 2.12163
9.397, 5.04068
9.872, 5.17548
5.557, 1.59297
5.4355, 1.2263
9.3395, 1.25834
8.889, 2.14501
9.282, 1.07128
9.282, 1.55869
9.335, 0.630898
8.575, 3.48383
4.791, 0.544519
6.445, 0.354379
8.832, 3.64137
7.461, 2.79772
9.076, 4.36852
5.287, 0.827084
6.503, 0.658989
5.209, 0.91806
9.952, 0.570742
9.952, 0.454839
8.736, 0.686373
6.676, 0.535286
6.462, 1.36342
6.742, 1.01555
7.136, 0.686643
8.813, 0.913956
6.742, 2.52684
7.164, 1.39816
6.462, 2.86074
6.742, 3.91225
11.0785, 0.521138
8.37, 1.14009
9.08, 3.4127
5.927, 0.788442
6.9135, 0.755335
6.9135, 0.923435
8.2935, 1.435
6.03, 4.13373
5.004, 0.76998
2.467, 0.797597
6.528, 1.14884
5.557, 1.41317
6.2235, 1.98738
3.856, 1.75852
6.609, 0.788316
7.343, 0.747234
8.513, 1.32463
8.513, 1.15338
8.9285, 1.86328
8.513, 2.99367
5.4865, 2.06457
6.87, 1.24183
5.678, 4.88062
6.115, 2.48375
5.5885, 0.561851
5.5355, 1.00339
5.044, 1.20413
4.813, 0.698591
9.316, 3.1434
9.106, 0.735731
9.8695, 1.75285
9.151, 0.637466
6.011, 0.65177
6.994, 1.21091
7.531, 2.88602
5.831, 1.10168
6.3395, 1.38596
6.7965, 0.761407
5.2925, 1.06906
5.2925, 1.47505
4.2195, 1.17147
5.435, 1.83654
4.975, 2.7789
5.4385, 0.675608
6.16, 1.20922
1.803, 0.357877
4.412, 0.975351
4.412, 1.81325
6.178, 2.06909
5.7595, 0.395025
5.993, 1.13345
5.993, 1.10278
5.7595, 0.688735
6.0835, 2.8175
5.5345, 1.63823
5.462, 0.509127
3.2135, 0.922568
3.2135, 0.825356
4.65, 0.914052
5.462, 1.19803
3.9745, 0.901878
5.435, 0.620441
4.9145, 0.433682
6.3245, 0.872185
5.036, 1.45626
3.771, 3.63181
4.4535, 8.88687
4.612, 0.329099
5.2435, 0.166872
5.8675, 0.749233
4.832, 1.33852
4.365, 0.919564
3.991, 1.55436
4.177, 1.82094
4.0015, 0.813346
5.0145, 0.730613
3.819, 3.83326
3.979, 0.948631
6.0085, 1.08888
4.586, 1.55789
4.586, 2.57403
5.627, 0.576801
4.776, 1.45957
4.7655, 1.94319
4.103, 0.695479
4.4105, 0.877929
4.893, 1.24577
5.663, 1.03477
5.467, 1.36574
4.7385, 1.4964
4.0335, 1.25838
3.896, 0.927672
5.4845, 1.22669
5.4845, 1.63977
3.692, 0.172281
4.0395, 0.587009
5.1885, 0.534714
4.855, 0.632929
4.855, 0.315038
5.4405, 1.67451
5.1885, 1.62002
4.065, 1.15427
4.298, 0.579875
3.9555, 1.92954
4.0255, 1.41956
4.0255, 2.26789
4.514, 1.36197
3.476, 0.805516
3.918, 1.31576
4.6615, 1.04493
5.944, 0.196081
4.4125, 0.767945
3.784, 0.475568
4.378, 0.57401
4.013, 0.624269
3.6525, 0.809967
4.626, 0.84639
6.804, 1.06743
5.982, 0.916798
4.866, 0.713021
5.1385, 1.1597
3.6545, 2.60572
3.8735, 1.10724
3.9435, 0.766795
4.014, 1.11196
5.329, 0.27951
5.329, 0.506925
5.329, 0.436188
4.871, 1.89768
5.085, 1.33236
6.6515, 2.29079
3.477, 1.23884
4.189, 0.853524
4.972, 1.25464
4.855, 2.43888
4.811, 1.08808
5.6525, 1.24609
4.818, 0.786068
4.552, 1.09596
4.7675, 0.440767
5.153, 1.43843
5.2205, 1.57582
5.305, 1.97302
4.576, 0.602706
3.675, 0.733014
3.694, 0.91814
5.207, 1.37115
4.8835, 2.31437
5.249, 1.04935
4.985, 0.72156
4.985, 0.649343
5.249, 1.36637
4.491, 1.43597
4.87, 1.82096
3.4165, 1.3825
5.383, 1.64539
5.7255, 1.94975
6.294, 1.57012
4.711, 1.46437
5.383, 1.80468
3.75, 1.40183
6.1885, 0.533369
5.954, 0.824141
4.4125, 1.28452
5.954, 1.57094
5.685, 3.08096
5.384, 0.796451
7.639, 1.9332
6.961, 1.09001
7.639, 2.13229
5.395, 0.415904
5.186, 0.811648
6.9045, 0.681669
6.4305, 1.08736
6.8615, 1.00042
6.2285, 1.61227
6.4825, 0.71189
6.5485, 3.52301
6.5485, 3.22768
5.737, 0.46108
6.523, 0.754455
6.528, 0.891103
6.196, 0.764413
6.048, 1.16058
6.567, 0.996333
5.7445, 1.18283
5.829, 2.44909
6.434, 0.901081
6.434, 0.859713
5.3015, 0.657038
5.446, 2.24908
6.124, 0.824557
8.0645, 2.50517
6.563, 0.553689
7.605, 1.23594
7.361, 0.866318
7.714, 1.63652
4.772, 0.726332
6.506, 2.38387
6.375, 1.69285
6.2915, 1.80318
6.2915, 2.10322
6.734, 1.1705
7.107, 1.23849
6.527, 4.02053
7.43, 1.2591
6.679, 1.72006
7.43, 4.57172
7.047, 0.633556
8.3475, 1.01765
6.4745, 0.707977
7.925, 4.24182
7.986, 0.640355
7.196, 0.853659
6.755, 0.89236
6.655, 1.0126
7.049, 1.99049
8.0875, 3.73825
6.655, 3.10389
